utt_id,speaker,condition,gender,age_bucket,gender_match,interlocutor_age_bucket
train_40_2,ROSESH,code_switched,male,Younger,different,Older
train_410_3,MONISHA,monolingual_HI,female,Younger,different,Younger
train_378_3,BHALU,code_switched,male,Younger,same,Younger
train_123_1,MONISHA,code_switched,female,Younger,same,Older
train_140_2,MAYA,code_switched,female,Older,different,Younger
train_436_1,SAHIL,code_switched,male,Younger,same,Younger
train_378_2,BHALU,monolingual_EN,male,Younger,same,Younger
train_410_2,SAHIL,monolingual_HI,male,Younger,different,Younger
train_40_3,MAYA,code_switched,female,Older,different,Younger
train_306_4,JUGALKISHORE,code_switched,male,Older,different,Younger
train_142_1,INDRAVARDHAN,monolingual_HI,male,Older,different,Younger
train_107_1,SAHIL,code_switched,male,Younger,same,Older
train_298_2,INDRAVARDHAN,code_switched,male,Older,same,Older
train_319_3,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_199_2,SONIYA,code_switched,female,Younger,different,Younger
train_42_1,MADHUSUDAN,monolingual_HI,male,Older,same,Older
train_206_1,MAYA,code_switched,female,Older,different,Younger
train_243_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_64_2,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_220_2,MAYA,code_switched,female,Older,different,Older
train_21_2,MAYA,monolingual_EN,female,Older,same,Younger
train_182_1,MADHUSUDAN,code_switched,male,Older,same,Older
train_258_2,MONISHA,code_switched,female,Younger,different,Older
train_263_4,INDRAVARDHAN,code_switched,male,Older,different,Older
train_324_3,INDRAVARDHAN,monolingual_HI,male,Older,same,Younger
train_416_4,MAYA,monolingual_HI,female,Older,same,Older
train_239_3,MAYA,code_switched,female,Older,different,Older
train_138_1,MAYA,code_switched,female,Older,same,Older
train_25_4,SAHIL,monolingual_EN,male,Younger,different,Older
train_281_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_38_1,MONISHA,code_switched,female,Younger,same,Younger
train_239_1,MAYA,code_switched,female,Older,different,Older
train_324_1,INDRAVARDHAN,code_switched,male,Older,same,Older
train_409_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_381_4,MONISHA,monolingual_EN,female,Younger,different,Younger
train_182_3,MADHUSUDAN,monolingual_EN,male,Older,same,Older
train_387_2,MAYA,code_switched,female,Older,different,Younger
train_434_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_204_1,ROSESH,code_switched,male,Younger,different,Older
train_105_1,MONISHA,code_switched,female,Younger,different,Younger
train_123_2,MAYA,code_switched,female,Older,same,Younger
train_140_1,ROSESH,code_switched,male,Younger,different,Older
train_123_3,MONISHA,monolingual_HI,female,Younger,same,Older
train_410_1,MONISHA,code_switched,female,Younger,different,Younger
train_378_1,BHALU,monolingual_HI,male,Younger,same,Older
train_298_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_387_3,ROSESH,code_switched,male,Younger,different,Older
train_199_1,DUSHYANT,code_switched,male,Younger,same,Younger
train_64_1,SAHIL,monolingual_EN,male,Younger,same,Older
train_21_1,MONISHA,monolingual_HI,female,Younger,same,Older
train_42_2,INDRAVARDHAN,code_switched,male,Older,same,Older
train_182_2,INDRAVARDHAN,code_switched,male,Older,same,Older
train_258_1,JUGALKISHORE,code_switched,male,Older,different,Younger
train_381_5,SAHIL,code_switched,male,Younger,different,Younger
train_430_4,MAYA,monolingual_EN,female,Older,same,Younger
train_25_5,MAYA,code_switched,female,Older,different,Younger
train_87_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_286_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_399_3,SAHIL,code_switched,male,Younger,different,Younger
train_187_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_218_2,MAYA,code_switched,female,Older,different,Older
train_386_4,MAYA,code_switched,female,Older,same,Older
train_428_2,MAYA,code_switched,female,Older,different,Younger
train_279_3,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_346_4,SAHIL,code_switched,male,Younger,different,Younger
train_415_2,MONISHA,code_switched,female,Younger,same,Older
train_203_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_47_1,MONISHA,code_switched,female,Younger,same,Older
train_126_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_382_1,MAYA,code_switched,female,Older,same,Older
train_26_1,MAYA,code_switched,female,Older,same,Younger
train_63_1,SIDDHARTH,code_switched,male,Younger,same,Older
train_262_1,SAHIL,code_switched,male,Younger,same,Older
train_282_4,VITTHAL,monolingual_HI,male,Older,same,Older
train_279_2,MAYA,code_switched,female,Older,different,Older
train_185_2,MAYA,code_switched,female,Older,different,Younger
train_85_2,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_342_1,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_399_2,MONISHA,code_switched,female,Younger,different,Younger
train_87_2,MAYA,code_switched,female,Older,different,Older
train_286_2,MAYA,code_switched,female,Older,different,Older
train_439_9,INDRAVARDHAN,code_switched,male,Older,different,Older
train_187_2,MAYA,monolingual_HI,female,Older,different,Older
train_307_3,MAYA,code_switched,female,Older,different,Older
train_342_3,KOKI,code_switched,female,Younger,different,Older
train_218_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_428_1,ROSESH,code_switched,male,Younger,different,Older
train_19_1,MAYA,code_switched,female,Older,different,Younger
train_305_1,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_8_4,MAYA,monolingual_EN,female,Older,different,Younger
train_415_1,MAYA,code_switched,female,Older,same,Younger
train_139_4,INDRAVARDHAN,code_switched,male,Older,different,Older
train_24_1,SAHIL,code_switched,male,Younger,same,Older
train_210_8,MADHUSUDAN,code_switched,male,Older,same,Younger
train_203_2,MAYA,monolingual_EN,female,Older,different,Older
train_124_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_47_2,MAYA,monolingual_EN,female,Older,same,Younger
train_359_1,SAHIL,monolingual_EN,male,Younger,same,Younger
train_210_9,SAHIL,code_switched,male,Younger,same,Older
train_203_3,MAYA,code_switched,female,Older,same,Older
train_139_5,MAYA,monolingual_HI,female,Older,different,Older
train_382_2,MONISHA,code_switched,female,Younger,same,Older
train_145_1,MONISHA,code_switched,female,Younger,same,Older
train_201_1,SAHIL,monolingual_HI,male,Younger,same,Older
train_45_1,ROSESH,code_switched,male,Younger,same,Younger
train_78_1,SAHIL,code_switched,male,Younger,different,Younger
train_8_5,MAYA,code_switched,female,Older,same,Older
train_279_1,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_185_1,SAHIL,code_switched,male,Younger,different,Older
train_85_1,ROSESH,monolingual_EN,male,Younger,same,Older
train_307_2,INDRAVARDHAN,code_switched,male,Older,different,Older
train_399_1,SAHIL,code_switched,male,Younger,different,Younger
train_411_4,INDRAVARDHAN,monolingual_HI,male,Older,same,Younger
train_342_2,INDRAVARDHAN,monolingual_HI,male,Older,same,Older
train_286_3,INDRAVARDHAN,code_switched,male,Older,different,Older
train_205_1,MONISHA,monolingual_HI,female,Younger,same,Older
train_439_8,MAYA,code_switched,female,Older,different,Older
train_87_3,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_22_2,MONISHA,monolingual_HI,female,Younger,different,Younger
train_240_1,MAYA,code_switched,female,Older,different,Younger
train_41_1,SAHIL,monolingual_EN,male,Younger,different,Older
train_242_3,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_386_2,MAYA,code_switched,female,Older,different,Older
train_143_3,NAGESH,monolingual_HI,male,Older,same,Younger
train_279_5,INDRAVARDHAN,code_switched,male,Older,different,Older
train_435_1,MONISHA,code_switched,female,Younger,different,Younger
train_346_2,SAHIL,code_switched,male,Younger,different,Younger
train_282_3,INDRAVARDHAN,code_switched,male,Older,same,Older
train_139_1,MAYA,monolingual_EN,female,Older,different,Older
train_280_1,ANIRUDH,monolingual_HI,male,Older,same,Older
train_203_7,INDRAVARDHAN,code_switched,male,Older,different,Older
train_81_1,MAYA,code_switched,female,Older,different,Younger
train_39_1,MAYA,monolingual_EN,female,Older,different,Older
train_181_1,SAHIL,code_switched,male,Younger,different,Older
train_203_6,MAYA,code_switched,female,Older,different,Older
train_301_1,SAHIL,code_switched,male,Younger,same,Older
train_362_2,INDRAVARDHAN,code_switched,male,Older,same,Older
train_183_2,MAYA,code_switched,female,Older,same,Younger
train_259_1,SAHIL,monolingual_HI,male,Younger,different,Younger
train_158_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_282_2,VITTHAL,monolingual_HI,male,Older,same,Older
train_346_3,MONISHA,code_switched,female,Younger,different,Younger
train_98_1,MONISHA,code_switched,female,Younger,different,Younger
train_299_1,MAYA,code_switched,female,Older,same,Older
train_279_4,MAYA,code_switched,female,Older,different,Older
train_143_2,SAHIL,code_switched,male,Younger,same,Older
train_221_1,INDRAVARDHAN,monolingual_HI,male,Older,same,Younger
train_20_1,SAHIL,monolingual_HI,male,Younger,different,Younger
train_242_2,ROSESH,code_switched,male,Younger,same,Older
train_411_1,ROSESH,code_switched,male,Younger,same,Older
train_65_1,SAHIL,monolingual_HI,male,Younger,different,Younger
train_384_1,MAYA,monolingual_HI,female,Older,different,Older
train_22_3,SAHIL,code_switched,male,Younger,different,Younger
train_223_1,SAHIL,code_switched,male,Younger,same,Older
train_22_1,SAHIL,monolingual_HI,male,Younger,different,Younger
train_342_5,INDRAVARDHAN,monolingual_HI,male,Older,different,Younger
train_67_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_240_2,ROSESH,code_switched,male,Younger,different,Older
train_205_2,MAYA,monolingual_HI,female,Older,same,Younger
train_384_3,MAYA,code_switched,female,Older,different,Older
train_286_4,MAYA,code_switched,female,Older,different,Older
train_87_4,MAYA,code_switched,female,Older,different,Older
train_65_3,SAHIL,code_switched,male,Younger,different,Younger
train_411_3,ROSESH,monolingual_HI,male,Younger,same,Older
train_221_3,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_386_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_346_1,MONISHA,code_switched,female,Younger,different,Younger
train_203_4,MAYA,code_switched,female,Older,same,Older
train_139_2,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_280_2,SAHIL,monolingual_EN,male,Younger,same,Older
train_39_2,INDRAVARDHAN,code_switched,male,Older,different,Older
train_139_3,MAYA,monolingual_EN,female,Older,different,Older
train_362_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_203_5,INDRAVARDHAN,code_switched,male,Older,different,Older
train_183_1,MONISHA,monolingual_HI,female,Younger,same,Older
train_259_2,MONISHA,code_switched,female,Younger,different,Younger
train_83_1,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_282_1,INDRAVARDHAN,code_switched,male,Older,same,Older
train_98_2,SAHIL,code_switched,male,Younger,different,Younger
train_143_1,NAGESH,monolingual_EN,male,Older,same,Younger
train_8_3,ROSESH,code_switched,male,Younger,different,Older
train_242_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_411_2,INDRAVARDHAN,monolingual_HI,male,Older,same,Younger
train_65_2,MONISHA,code_switched,female,Younger,different,Younger
train_221_2,ROSESH,code_switched,male,Younger,same,Older
train_240_3,MAYA,code_switched,female,Older,different,Younger
train_384_2,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_342_4,KOKI,code_switched,female,Younger,same,Younger
train_4_3,MAYA,code_switched,female,Older,different,Younger
train_94_2,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_69_2,MAYA,monolingual_HI,female,Older,same,Older
train_439_3,INDRAVARDHAN,code_switched,male,Older,different,Older
train_194_2,SAHIL,code_switched,male,Younger,same,Older
train_232_5,MAYA,code_switched,female,Older,different,Younger
train_353_1,ROSESH,code_switched,male,Younger,same,Younger
train_375_2,MAYA,monolingual_EN,female,Older,different,Older
train_133_5,MONISHA,code_switched,female,Younger,different,Younger
train_388_2,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_393_1,INDRAVARDHAN,code_switched,male,Older,same,Older
train_234_3,MAYA,monolingual_HI,female,Older,different,Older
train_170_3,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_443_1,MONISHA,code_switched,female,Younger,different,Older
train_406_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_210_2,MADHUSUDAN,code_switched,male,Older,same,Older
train_273_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_255_2,DUSHYANT,monolingual_EN,male,Younger,different,Younger
train_37_1,MAYA,monolingual_EN,female,Older,different,Younger
train_72_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_203_8,INDRAVARDHAN,code_switched,male,Older,same,Older
train_172_1,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_154_2,ROSESH,code_switched,male,Younger,same,Younger
train_137_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_422_1,MAYA,code_switched,female,Older,different,Younger
train_154_3,AMAR TWANSHU,code_switched,male,Younger,same,Younger
train_391_2,SAHIL,monolingual_HI,male,Younger,different,Older
train_419_7,SAHIL,code_switched,male,Younger,same,Older
train_210_3,SAHIL,code_switched,male,Younger,same,Older
train_255_3,MONISHA,monolingual_HI,female,Younger,different,Younger
train_170_2,MONISHA,monolingual_EN,female,Younger,different,Older
train_113_1,JAISHANKAR,code_switched,male,Older,same,Older
train_234_2,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_13_1,MONISHA,code_switched,female,Younger,same,Younger
train_196_1,SAHIL,code_switched,male,Younger,same,Younger
train_133_4,SAHIL,code_switched,male,Younger,different,Younger
train_108_2,ROSESH,code_switched,male,Younger,different,Older
train_232_4,SIDDHARTH,code_switched,male,Younger,different,Older
train_375_3,INDRAVARDHAN,code_switched,male,Older,different,Older
train_194_3,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_69_3,SIDDHARTH,code_switched,male,Younger,different,Older
train_439_2,MAYA,code_switched,female,Older,different,Older
train_332_1,ROSESH,monolingual_EN,male,Younger,different,Younger
train_4_2,DUSHYANT,monolingual_EN,male,Younger,different,Older
train_314_2,MAYA,code_switched,female,Older,same,Younger
train_230_4,MAYA,code_switched,female,Older,same,Younger
train_295_1,MAYA,code_switched,female,Older,different,Older
train_94_1,ROSESH,code_switched,male,Younger,same,Older
train_69_1,MAYA,monolingual_EN,female,Older,different,Younger
train_268_1,SAHIL,code_switched,male,Younger,different,Younger
train_194_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_375_1,INDRAVARDHAN,code_switched,male,Older,same,Older
train_76_6,MAYA,code_switched,female,Older,different,Older
train_330_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_232_6,SIDDHARTH,code_switched,male,Younger,different,Older
train_395_4,SAHIL,code_switched,male,Younger,different,Younger
train_388_1,MONISHA,code_switched,female,Younger,different,Older
train_355_4,SAHIL,code_switched,male,Younger,same,Older
train_13_3,SAHIL,code_switched,male,Younger,different,Younger
train_393_2,MONISHA,monolingual_EN,female,Younger,different,Older
train_348_1,RADHABAI,code_switched,female,Older,same,Older
train_113_3,MAYA,code_switched,female,Older,same,Older
train_420_1,MAYA,code_switched,female,Older,same,Younger
train_443_2,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_406_2,MAYA,code_switched,female,Older,different,Older
train_37_2,ROSESH,code_switched,male,Younger,different,Older
train_255_1,MONISHA,monolingual_HI,female,Younger,different,Younger
train_273_2,MAYA,code_switched,female,Older,different,Older
train_419_5,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_210_1,MADHUSUDAN,monolingual_HI,male,Older,same,Younger
train_172_2,MONISHA,code_switched,female,Younger,different,Older
train_154_1,AMAR TWANSHU,monolingual_EN,male,Younger,same,Younger
train_248_4,MAYA,code_switched,female,Older,same,Older
train_404_1,MAYA,code_switched,female,Older,different,Younger
train_391_1,MAYA,monolingual_EN,female,Older,different,Younger
train_37_3,MAYA,code_switched,female,Older,different,Younger
train_443_3,MONISHA,monolingual_HI,female,Younger,different,Older
train_113_2,MAYA,code_switched,female,Older,different,Older
train_13_2,MONISHA,code_switched,female,Younger,same,Younger
train_393_3,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_170_1,INDRAVARDHAN,monolingual_HI,male,Older,different,Younger
train_234_1,MAYA,monolingual_EN,female,Older,different,Older
train_395_5,MONISHA,code_switched,female,Younger,different,Younger
train_108_1,MAYA,code_switched,female,Older,different,Younger
train_351_1,ROSESH,code_switched,male,Younger,same,Younger
train_314_1,MONISHA,code_switched,female,Younger,same,Older
train_332_2,MONISHA,code_switched,female,Younger,different,Younger
train_4_1,MAYA,code_switched,female,Older,different,Younger
train_439_5,INDRAVARDHAN,code_switched,male,Older,different,Older
train_31_1,MAYA,code_switched,female,Older,different,Older
train_253_2,MAYA,code_switched,female,Older,different,Older
train_74_1,SAHIL,code_switched,male,Younger,same,Older
train_288_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_89_1,INDRAVARDHAN,monolingual_HI,male,Older,same,Older
train_402_3,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_131_1,MAYA,code_switched,female,Older,different,Older
train_174_1,MAYA,code_switched,female,Older,different,Younger
train_232_3,MAYA,monolingual_HI,female,Older,different,Younger
train_426_2,MAYA,monolingual_EN,female,Older,same,Younger
train_76_3,INDRAVARDHAN,code_switched,male,Older,different,Older
train_445_1,MAYA,monolingual_HI,female,Older,same,Older
train_133_3,MONISHA,monolingual_HI,female,Younger,different,Younger
train_310_1,ROSESH,code_switched,male,Younger,same,Younger
train_373_2,MAYA,code_switched,female,Older,same,Younger
train_355_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_234_5,MAYA,code_switched,female,Older,different,Older
train_336_2,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_92_2,SIDDHARTH,monolingual_EN,male,Younger,same,Older
train_357_3,MONISHA,code_switched,female,Younger,different,Younger
train_210_4,MADHUSUDAN,code_switched,male,Older,same,Younger
train_49_1,ROSESH,code_switched,male,Younger,same,Older
train_248_1,SARUPA,code_switched,female,Older,same,Older
train_192_2,SAHIL,monolingual_EN,male,Younger,different,Younger
train_192_3,NEELIMA,code_switched,female,Younger,different,Younger
train_210_5,SAHIL,code_switched,male,Younger,same,Older
train_334_1,MAYA,monolingual_HI,female,Older,same,Younger
train_371_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_357_2,SAHIL,code_switched,male,Younger,different,Younger
train_92_3,MADHUSUDAN,code_switched,male,Older,same,Younger
train_229_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_28_1,MONISHA,code_switched,female,Younger,different,Younger
train_419_1,SAHIL,code_switched,male,Younger,same,Older
train_190_1,MAYA,code_switched,female,Older,same,Younger
train_128_1,NAGESH,code_switched,male,Older,same,Younger
