row_number,age,gender,nationality
109,23,F,Singaporean
110,23,F,Singaporean
111,23,F,Singaporean
112,22,F,Singaporean
113,23,F,Singaporean
114,23,F,Singaporean
115,23,F,Singaporean
116,22,F,Singaporean
117,23,F,Singaporean
118,23,F,Singaporean
119,22,F,Singaporean
120,23,F,Singaporean
121,23,F,Singaporean
122,23,F,Singaporean
123,23,F,Singaporean
124,22,F,Singaporean
125,23,F,Singaporean
126,23,F,Singaporean
127,23,F,Singaporean
128,23,F,Singaporean
129,23,F,Singaporean
130,23,F,Singaporean
131,22,F,Singaporean
132,23,F,Singaporean
133,23,F,Singaporean
134,23,F,Singaporean
135,22,F,Singaporean
136,23,F,Singaporean
137,23,F,Singaporean
138,23,F,Singaporean
139,22,F,Singaporean
140,22,F,Singaporean
141,23,F,Singaporean
142,23,F,Singaporean
143,22,F,Singaporean
144,23,F,Singaporean
145,23,F,Singaporean
146,22,F,Singaporean
147,23,F,Singaporean
148,23,F,Singaporean
149,23,F,Singaporean
150,22,F,Singaporean
151,23,F,Singaporean
152,23,F,Singaporean
153,23,F,Singaporean
154,23,F,Singaporean
155,23,F,Singaporean
156,23,F,Singaporean
157,22,F,Singaporean
158,23,F,Singaporean
159,23,F,Singaporean
160,23,F,Singaporean
161,23,F,Singaporean
162,23,F,Singaporean
163,23,F,Singaporean
164,23,F,Singaporean
165,23,F,Singaporean
166,22,F,Singaporean
167,23,F,Singaporean
168,22,F,Singaporean
169,23,F,Singaporean
170,23,F,Singaporean
171,22,F,Singaporean
172,23,F,Singaporean
173,23,F,Singaporean
174,23,F,Singaporean
175,23,F,Singaporean
176,22,F,Singaporean
177,23,F,Singaporean
178,23,F,Singaporean
179,23,F,Singaporean
180,23,F,Singaporean
181,23,F,Singaporean
182,23,F,Singaporean
183,23,F,Singaporean
184,23,F,Singaporean
185,23,F,Singaporean
186,23,F,Singaporean
187,22,F,Singaporean
188,23,F,Singaporean
189,23,F,Singaporean
190,23,F,Singaporean
191,23,F,Singaporean
192,23,F,Singaporean
193,23,F,Singaporean
194,23,F,Singaporean
195,23,F,Singaporean
196,22,F,Singaporean
197,23,F,Singaporean
198,22,F,Singaporean
199,23,F,Singaporean
200,23,F,Singaporean
201,23,F,Singaporean
202,23,F,Singaporean
203,23,F,Singaporean
204,22,F,Singaporean
205,23,F,Singaporean
206,23,F,Singaporean
207,23,F,Singaporean
208,23,F,Singaporean
209,22,F,Singaporean
210,23,F,Singaporean
211,23,F,Singaporean
212,23,F,Singaporean
213,23,F,Singaporean
214,23,F,Singaporean
215,23,F,Singaporean
216,23,F,Singaporean
217,22,F,Singaporean
218,23,F,Singaporean
219,23,F,Singaporean
220,23,F,Singaporean
221,22,F,Singaporean
222,23,F,Singaporean
223,23,F,Singaporean
224,23,F,Singaporean
225,23,F,Singaporean
226,23,F,Singaporean
227,22,F,Singaporean
228,23,F,Singaporean
229,23,F,Singaporean
230,23,F,Singaporean
231,23,F,Singaporean
232,23,F,Singaporean
233,23,F,Singaporean
234,23,F,Singaporean
235,23,F,Singaporean
236,22,F,Singaporean
237,23,F,Singaporean
238,23,F,Singaporean
239,23,F,Singaporean
240,23,F,Singaporean
241,23,F,Singaporean
242,23,F,Singaporean
243,23,F,Singaporean
244,22,F,Singaporean
245,23,F,Singaporean
246,23,F,Singaporean
247,23,F,Singaporean
248,22,F,Singaporean
249,23,F,Singaporean
250,23,F,Singaporean
251,23,F,Singaporean
252,22,F,Singaporean
253,23,F,Singaporean
254,23,F,Singaporean
255,23,F,Singaporean
256,23,F,Singaporean
257,23,F,Singaporean
258,23,F,Singaporean
259,23,F,Singaporean
260,23,F,Singaporean
261,23,F,Singaporean
262,22,F,Singaporean
263,23,F,Singaporean
264,23,F,Singaporean
265,23,F,Singaporean
266,22,F,Singaporean
267,23,F,Singaporean
268,23,F,Singaporean
269,22,F,Singaporean
270,23,F,Singaporean
271,23,F,Singaporean
272,23,F,Singaporean
273,23,F,Singaporean
274,22,F,Singaporean
275,23,F,Singaporean
276,23,F,Singaporean
277,23,F,Singaporean
278,23,F,Singaporean
279,23,F,Singaporean
280,22,F,Singaporean
281,23,F,Singaporean
282,23,F,Singaporean
283,23,F,Singaporean
284,23,F,Singaporean
285,22,F,Singaporean
286,22,F,Singaporean
287,23,F,Singaporean
288,23,F,Singaporean
289,22,F,Singaporean
290,23,F,Singaporean
291,23,F,Singaporean
292,23,F,Singaporean
293,22,F,Singaporean
294,23,F,Singaporean
295,23,F,Singaporean
296,22,F,Singaporean
297,23,F,Singaporean
298,22,F,Singaporean
299,23,F,Singaporean
300,23,F,Singaporean
301,23,F,Singaporean
302,22,F,Singaporean
303,22,F,Singaporean
304,23,F,Singaporean
305,23,F,Singaporean
306,22,F,Singaporean
307,23,F,Singaporean
308,22,F,Singaporean
309,23,F,Singaporean
310,22,F,Singaporean
311,22,F,Singaporean
312,23,F,Singaporean
313,23,F,Singaporean
314,22,F,Singaporean
315,23,F,Singaporean
316,23,F,Singaporean
317,23,F,Singaporean
318,23,F,Singaporean
319,23,F,Singaporean
320,23,F,Singaporean
321,23,F,Singaporean
322,23,F,Singaporean
323,23,F,Singaporean
324,23,F,Singaporean
325,23,F,Singaporean
326,23,F,Singaporean
327,22,F,Singaporean
328,23,F,Singaporean
329,22,F,Singaporean
330,22,F,Singaporean
331,22,F,Singaporean
332,23,F,Singaporean
333,23,F,Singaporean
334,22,F,Singaporean
335,23,F,Singaporean
336,23,F,Singaporean
337,23,F,Singaporean
338,23,F,Singaporean
339,22,F,Singaporean
340,23,F,Singaporean
341,23,F,Singaporean
342,23,F,Singaporean
343,22,F,Singaporean
344,23,F,Singaporean
345,23,F,Singaporean
346,22,F,Singaporean
347,23,F,Singaporean
348,23,F,Singaporean
349,23,F,Singaporean
350,23,F,Singaporean
351,22,F,Singaporean
352,22,F,Singaporean
353,23,F,Singaporean
354,23,F,Singaporean
355,22,F,Singaporean
356,23,F,Singaporean
357,22,F,Singaporean
358,23,F,Singaporean
359,22,F,Singaporean
360,23,F,Singaporean
361,23,F,Singaporean
362,22,F,Singaporean
363,23,F,Singaporean
364,23,F,Singaporean
365,22,F,Singaporean
366,23,F,Singaporean
367,22,F,Singaporean
368,23,F,Singaporean
369,22,F,Singaporean
370,22,F,Singaporean
371,23,F,Singaporean
372,23,F,Singaporean
373,23,F,Singaporean
374,22,F,Singaporean
375,23,F,Singaporean
376,23,F,Singaporean
377,23,F,Singaporean
378,23,F,Singaporean
379,22,F,Singaporean
380,23,F,Singaporean
381,22,F,Singaporean
382,22,F,Singaporean
383,23,F,Singaporean
384,22,F,Singaporean
385,23,F,Singaporean
386,23,F,Singaporean
387,23,F,Singaporean
388,23,F,Singaporean
389,22,F,Singaporean
390,23,F,Singaporean
391,23,F,Singaporean
392,23,F,Singaporean
393,22,F,Singaporean
394,23,F,Singaporean
395,23,F,Singaporean
396,22,F,Singaporean
397,23,F,Singaporean
398,23,F,Singaporean
399,22,F,Singaporean
400,23,F,Singaporean
401,23,F,Singaporean
402,23,F,Singaporean
403,23,F,Singaporean
404,22,F,Singaporean
405,23,F,Singaporean
406,22,F,Singaporean
407,23,F,Singaporean
408,23,F,Singaporean
409,22,F,Singaporean
410,23,F,Singaporean
411,23,F,Singaporean
412,22,F,Singaporean
413,23,F,Singaporean
414,23,F,Singaporean
415,23,F,Singaporean
416,23,F,Singaporean
417,23,F,Singaporean
418,22,F,Singaporean
419,23,F,Singaporean
420,22,F,Singaporean
421,23,F,Singaporean
422,23,F,Singaporean
423,22,F,Singaporean
424,23,F,Singaporean
425,23,F,Singaporean
426,22,F,Singaporean
427,23,F,Singaporean
428,23,F,Singaporean
429,23,F,Singaporean
430,23,F,Singaporean
431,23,F,Singaporean
432,23,F,Singaporean
433,22,F,Singaporean
434,23,F,Singaporean
435,23,F,Singaporean
436,23,F,Singaporean
437,23,F,Singaporean
438,22,F,Singaporean
439,23,F,Singaporean
440,23,F,Singaporean
441,23,F,Singaporean
442,22,F,Singaporean
443,23,F,Singaporean
444,22,F,Singaporean
445,23,F,Singaporean
446,23,F,Singaporean
447,23,F,Singaporean
448,23,F,Singaporean
449,23,F,Singaporean
450,23,F,Singaporean
451,22,F,Singaporean
452,23,F,Singaporean
453,23,F,Singaporean
454,22,F,Singaporean
455,23,F,Singaporean
456,23,F,Singaporean
457,22,F,Singaporean
458,23,F,Singaporean
459,23,F,Singaporean
460,23,F,Singaporean
461,23,F,Singaporean
462,22,F,Singaporean
463,23,F,Singaporean
464,23,F,Singaporean
465,22,F,Singaporean
466,23,F,Singaporean
467,23,F,Singaporean
468,23,F,Singaporean
469,23,F,Singaporean
470,22,F,Singaporean
471,23,F,Singaporean
472,22,F,Singaporean
473,23,F,Singaporean
474,23,F,Singaporean
475,23,F,Singaporean
476,22,F,Singaporean
477,23,F,Singaporean
478,23,F,Singaporean
479,23,F,Singaporean
480,23,F,Singaporean
481,23,F,Singaporean
482,23,F,Singaporean
483,23,F,Singaporean
484,22,F,Singaporean
485,23,F,Singaporean
486,23,F,Singaporean
487,23,F,Singaporean
488,23,F,Singaporean
489,22,F,Singaporean
490,22,F,Singaporean
491,22,F,Singaporean
492,22,F,Singaporean
493,22,F,Singaporean
494,22,F,Singaporean
495,23,F,Singaporean
496,22,F,Singaporean
497,23,F,Singaporean
498,23,F,Singaporean
499,23,F,Singaporean
500,22,F,Singaporean
501,23,F,Singaporean
502,23,F,Singaporean
503,23,F,Singaporean
504,23,F,Singaporean
505,23,F,Singaporean
506,23,F,Singaporean
507,23,F,Singaporean
508,23,F,Singaporean
509,22,F,Singaporean
510,23,F,Singaporean
511,23,F,Singaporean
512,22,F,Singaporean
513,23,F,Singaporean
514,23,F,Singaporean
515,22,F,Singaporean
516,23,F,Singaporean
517,22,F,Singaporean
518,22,F,Singaporean
519,22,F,Singaporean
520,23,F,Singaporean
521,22,F,Singaporean
522,23,F,Singaporean
523,22,F,Singaporean
524,23,F,Singaporean
525,22,F,Singaporean
526,23,F,Singaporean
527,23,F,Singaporean
528,23,F,Singaporean
529,23,F,Singaporean
530,23,F,Singaporean
531,23,F,Singaporean
532,23,F,Singaporean
533,23,F,Singaporean
534,23,F,Singaporean
535,22,F,Singaporean
536,23,F,Singaporean
537,23,F,Singaporean
538,23,F,Singaporean
539,23,F,Singaporean
540,23,F,Singaporean
541,23,F,Singaporean
542,23,F,Singaporean
543,23,F,Singaporean
544,22,F,Singaporean
545,23,F,Singaporean
546,23,F,Singaporean
547,23,F,Singaporean
548,23,F,Singaporean
549,22,F,Singaporean
550,23,F,Singaporean
551,23,F,Singaporean
552,23,F,Singaporean
553,22,F,Singaporean
554,23,F,Singaporean
555,22,F,Singaporean
556,23,F,Singaporean
557,23,F,Singaporean
558,22,F,Singaporean
559,22,F,Singaporean
560,23,F,Singaporean
561,23,F,Singaporean
562,23,F,Singaporean
563,22,F,Singaporean
564,23,F,Singaporean
565,23,F,Singaporean
566,22,F,Singaporean
567,23,F,Singaporean
568,22,F,Singaporean
569,23,F,Singaporean
570,23,F,Singaporean
571,22,F,Singaporean
572,23,F,Singaporean
573,23,F,Singaporean
574,22,F,Singaporean
575,23,F,Singaporean
576,22,F,Singaporean
577,23,F,Singaporean
578,22,F,Singaporean
579,23,F,Singaporean
580,23,F,Singaporean
581,22,F,Singaporean
582,23,F,Singaporean
583,22,F,Singaporean
584,23,F,Singaporean
585,22,F,Singaporean
586,23,F,Singaporean
587,23,F,Singaporean
588,22,F,Singaporean
589,23,F,Singaporean
590,22,F,Singaporean
591,23,F,Singaporean
592,23,F,Singaporean
593,22,F,Singaporean
594,22,F,Singaporean
595,22,F,Singaporean
596,23,F,Singaporean
597,22,F,Singaporean
598,22,F,Singaporean
599,23,F,Singaporean
600,22,F,Singaporean
601,23,F,Singaporean
602,22,F,Singaporean
603,23,F,Singaporean
604,22,F,Singaporean
605,23,F,Singaporean
606,23,F,Singaporean
607,23,F,Singaporean
608,22,F,Singaporean
609,23,F,Singaporean
610,22,F,Singaporean
611,23,F,Singaporean
612,22,F,Singaporean
613,23,F,Singaporean
614,23,F,Singaporean
615,23,F,Singaporean
616,22,F,Singaporean
617,23,F,Singaporean
618,23,F,Singaporean
619,23,F,Singaporean
620,23,F,Singaporean
621,23,F,Singaporean
622,23,F,Singaporean
623,23,F,Singaporean
624,22,F,Singaporean
625,23,F,Singaporean
626,23,F,Singaporean
627,23,F,Singaporean
628,23,F,Singaporean
629,23,F,Singaporean
630,23,F,Singaporean
631,23,F,Singaporean
632,22,F,Singaporean
633,23,F,Singaporean
634,23,F,Singaporean
635,23,F,Singaporean
636,23,F,Singaporean
637,23,F,Singaporean
638,22,F,Singaporean
639,22,F,Singaporean
640,23,F,Singaporean
641,23,F,Singaporean
642,23,F,Singaporean
643,23,F,Singaporean
644,23,F,Singaporean
645,23,F,Singaporean
646,22,F,Singaporean
647,23,F,Singaporean
648,23,F,Singaporean
649,23,F,Singaporean
650,22,F,Singaporean
651,22,F,Singaporean
652,22,F,Singaporean
653,22,F,Singaporean
654,22,F,Singaporean
655,23,F,Singaporean
656,23,F,Singaporean
657,22,F,Singaporean
658,23,F,Singaporean
659,22,F,Singaporean
660,23,F,Singaporean
661,23,F,Singaporean
662,23,F,Singaporean
663,23,F,Singaporean
664,22,F,Singaporean
665,23,F,Singaporean
666,23,F,Singaporean
667,23,F,Singaporean
668,23,F,Singaporean
669,22,F,Singaporean
670,23,F,Singaporean
671,23,F,Singaporean
672,23,F,Singaporean
673,23,F,Singaporean
674,22,F,Singaporean
675,23,F,Singaporean
676,23,F,Singaporean
677,23,F,Singaporean
678,23,F,Singaporean
679,22,F,Singaporean
680,23,F,Singaporean
681,23,F,Singaporean
682,23,F,Singaporean
683,22,F,Singaporean
684,23,F,Singaporean
685,23,F,Singaporean
686,23,F,Singaporean
687,23,F,Singaporean
688,22,F,Singaporean
689,23,F,Singaporean
690,23,F,Singaporean
691,23,F,Singaporean
692,23,F,Singaporean
693,22,F,Singaporean
694,23,F,Singaporean
695,23,F,Singaporean
696,22,F,Singaporean
697,23,F,Singaporean
698,23,F,Singaporean
699,23,F,Singaporean
700,22,F,Singaporean
701,23,F,Singaporean
702,23,F,Singaporean
703,23,F,Singaporean
704,22,F,Singaporean
705,23,F,Singaporean
706,23,F,Singaporean
707,23,F,Singaporean
708,23,F,Singaporean
709,22,F,Singaporean
710,23,F,Singaporean
711,23,F,Singaporean
712,23,F,Singaporean
713,23,F,Singaporean
714,23,F,Singaporean
715,22,F,Singaporean
716,23,F,Singaporean
717,23,F,Singaporean
718,22,F,Singaporean
719,23,F,Singaporean
720,23,F,Singaporean
721,23,F,Singaporean
722,23,F,Singaporean
723,23,F,Singaporean
724,23,F,Singaporean
725,23,F,Singaporean
726,23,F,Singaporean
727,23,F,Singaporean
728,23,F,Singaporean
729,23,F,Singaporean
730,23,F,Singaporean
731,22,F,Singaporean
732,23,F,Singaporean
733,23,F,Singaporean
734,23,F,Singaporean
735,23,F,Singaporean
736,22,F,Singaporean
737,23,F,Singaporean
738,23,F,Singaporean
739,22,F,Singaporean
740,22,F,Singaporean
741,23,F,Singaporean
742,22,F,Singaporean
743,23,F,Singaporean
744,23,F,Singaporean
745,23,F,Singaporean
746,23,F,Singaporean
747,22,F,Singaporean
748,23,F,Singaporean
749,23,F,Singaporean
750,22,F,Singaporean
751,23,F,Singaporean
752,23,F,Singaporean
753,23,F,Singaporean
754,22,F,Singaporean
755,23,F,Singaporean
756,22,F,Singaporean
757,23,F,Singaporean
758,23,F,Singaporean
759,23,F,Singaporean
760,22,F,Singaporean
761,23,F,Singaporean
762,23,F,Singaporean
763,23,F,Singaporean
764,23,F,Singaporean
765,23,F,Singaporean
766,22,F,Singaporean
767,22,F,Singaporean
768,23,F,Singaporean
769,23,F,Singaporean
770,23,F,Singaporean
771,23,F,Singaporean
772,23,F,Singaporean
773,23,F,Singaporean
774,22,F,Singaporean
775,23,F,Singaporean
776,23,F,Singaporean
777,22,F,Singaporean
778,23,F,Singaporean
779,23,F,Singaporean
780,23,F,Singaporean
781,23,F,Singaporean
782,22,F,Singaporean
783,23,F,Singaporean
784,23,F,Singaporean
785,23,F,Singaporean
786,22,F,Singaporean
787,23,F,Singaporean
788,23,F,Singaporean
789,23,F,Singaporean
790,23,F,Singaporean
791,22,F,Singaporean
792,23,F,Singaporean
793,23,F,Singaporean
794,22,F,Singaporean
795,22,F,Singaporean
796,23,F,Singaporean
797,22,F,Singaporean
798,23,F,Singaporean
799,22,F,Singaporean
800,23,F,Singaporean
801,22,F,Singaporean
802,23,F,Singaporean
803,23,F,Singaporean
804,23,F,Singaporean
805,22,F,Singaporean
806,22,F,Singaporean
807,23,F,Singaporean
808,22,F,Singaporean
809,23,F,Singaporean
810,22,F,Singaporean
811,23,F,Singaporean
812,23,F,Singaporean
813,22,F,Singaporean
814,22,F,Singaporean
815,23,F,Singaporean
816,23,F,Singaporean
817,22,F,Singaporean
818,23,F,Singaporean
819,23,F,Singaporean
820,22,F,Singaporean
821,22,F,Singaporean
822,23,F,Singaporean
823,23,F,Singaporean
824,22,F,Singaporean
825,23,F,Singaporean
826,23,F,Singaporean
827,22,F,Singaporean
828,23,F,Singaporean
829,23,F,Singaporean
830,22,F,Singaporean
831,23,F,Singaporean
832,22,F,Singaporean
833,23,F,Singaporean
834,22,F,Singaporean
835,22,F,Singaporean
836,23,F,Singaporean
837,22,F,Singaporean
838,22,F,Singaporean
839,23,F,Singaporean
840,23,F,Singaporean
841,22,F,Singaporean
842,22,F,Singaporean
843,23,F,Singaporean
844,22,F,Singaporean
845,23,F,Singaporean
846,23,F,Singaporean
847,22,F,Singaporean
848,22,F,Singaporean
849,23,F,Singaporean
850,23,F,Singaporean
851,22,F,Singaporean
852,23,F,Singaporean
853,22,F,Singaporean
854,22,F,Singaporean
855,23,F,Singaporean
856,23,F,Singaporean
857,23,F,Singaporean
858,23,F,Singaporean
859,22,F,Singaporean
860,22,F,Singaporean
861,23,F,Singaporean
862,22,F,Singaporean
863,23,F,Singaporean
864,22,F,Singaporean
865,23,F,Singaporean
866,22,F,Singaporean
867,23,F,Singaporean
868,23,F,Singaporean
869,23,F,Singaporean
870,22,F,Singaporean
871,22,F,Singaporean
872,23,F,Singaporean
873,22,F,Singaporean
874,23,F,Singaporean
875,23,F,Singaporean
876,22,F,Singaporean
877,23,F,Singaporean
878,22,F,Singaporean
879,22,F,Singaporean
880,22,F,Singaporean
881,22,F,Singaporean
882,23,F,Singaporean
883,23,F,Singaporean
884,23,F,Singaporean
885,22,F,Singaporean
886,22,F,Singaporean
887,23,F,Singaporean
888,22,F,Singaporean
889,23,F,Singaporean
890,22,F,Singaporean
891,23,F,Singaporean
892,22,F,Singaporean
893,22,F,Singaporean
894,23,F,Singaporean
895,22,F,Singaporean
896,23,F,Singaporean
897,22,F,Singaporean
898,23,F,Singaporean
899,22,F,Singaporean
900,22,F,Singaporean
901,22,F,Singaporean
902,22,F,Singaporean
903,22,F,Singaporean
904,23,F,Singaporean
905,22,F,Singaporean
906,23,F,Singaporean
907,22,F,Singaporean
908,23,F,Singaporean
909,22,F,Singaporean
910,22,F,Singaporean
911,23,F,Singaporean
912,23,F,Singaporean
913,22,F,Singaporean
914,23,F,Singaporean
915,22,F,Singaporean
916,23,F,Singaporean
917,23,F,Singaporean
918,23,F,Singaporean
919,22,F,Singaporean
920,22,F,Singaporean
921,23,F,Singaporean
922,23,F,Singaporean
923,22,F,Singaporean
924,23,F,Singaporean
925,22,F,Singaporean
926,23,F,Singaporean
927,23,F,Singaporean
928,23,F,Singaporean
929,22,F,Singaporean
930,22,F,Singaporean
931,22,F,Singaporean
932,23,F,Singaporean
933,23,F,Singaporean
934,22,F,Singaporean
935,23,F,Singaporean
936,23,F,Singaporean
937,23,F,Singaporean
938,23,F,Singaporean
939,22,F,Singaporean
940,23,F,Singaporean
941,23,F,Singaporean
942,23,F,Singaporean
943,22,F,Singaporean
944,23,F,Singaporean
945,23,F,Singaporean
946,23,F,Singaporean
947,22,F,Singaporean
948,23,F,Singaporean
949,23,F,Singaporean
950,23,F,Singaporean
951,23,F,Singaporean
952,22,F,Singaporean
953,22,F,Singaporean
954,23,F,Singaporean
955,22,F,Singaporean
956,23,F,Singaporean
957,22,F,Singaporean
958,23,F,Singaporean
959,23,F,Singaporean
960,23,F,Singaporean
961,23,F,Singaporean
962,22,F,Singaporean
963,23,F,Singaporean
964,23,F,Singaporean
965,22,F,Singaporean
966,23,F,Singaporean
967,23,F,Singaporean
968,23,F,Singaporean
969,22,F,Singaporean
970,23,F,Singaporean
971,22,F,Singaporean
972,22,F,Singaporean
973,22,F,Singaporean
974,23,F,Singaporean
975,23,F,Singaporean
976,23,F,Singaporean
977,23,F,Singaporean
978,23,F,Singaporean
979,22,F,Singaporean
980,22,F,Singaporean
981,23,F,Singaporean
982,23,F,Singaporean
983,23,F,Singaporean
984,23,F,Singaporean
985,23,F,Singaporean
986,22,F,Singaporean
987,23,F,Singaporean
988,22,F,Singaporean
989,23,F,Singaporean
990,23,F,Singaporean
991,23,F,Singaporean
992,23,F,Singaporean
993,23,F,Singaporean
994,22,F,Singaporean
995,23,F,Singaporean
996,22,F,Singaporean
997,23,F,Singaporean
998,23,F,Singaporean
999,23,F,Singaporean
1000,23,F,Singaporean
1001,23,F,Singaporean
1002,22,F,Singaporean
1003,23,F,Singaporean
1004,23,F,Singaporean
1005,23,F,Singaporean
1006,23,F,Singaporean
1007,22,F,Singaporean
1008,23,F,Singaporean
1009,23,F,Singaporean
1010,23,F,Singaporean
1011,23,F,Singaporean
1012,23,F,Singaporean
1013,22,F,Singaporean
1014,23,F,Singaporean
1015,22,F,Singaporean
1016,23,F,Singaporean
1017,23,F,Singaporean
1018,23,F,Singaporean
1019,23,F,Singaporean
1020,22,F,Singaporean
1021,23,F,Singaporean
1022,23,F,Singaporean
1023,22,F,Singaporean
1024,23,F,Singaporean
1025,22,F,Singaporean
1026,23,F,Singaporean
1027,22,F,Singaporean
1028,23,F,Singaporean
1029,22,F,Singaporean
1030,22,F,Singaporean
1031,23,F,Singaporean
1032,23,F,Singaporean
1033,23,F,Singaporean
1034,23,F,Singaporean
1035,22,F,Singaporean
1036,23,F,Singaporean
1037,23,F,Singaporean
1038,23,F,Singaporean
1039,22,F,Singaporean
1040,23,F,Singaporean
1041,22,F,Singaporean
1042,23,F,Singaporean
1043,23,F,Singaporean
1044,22,F,Singaporean
1045,23,F,Singaporean
1046,22,F,Singaporean
1047,23,F,Singaporean
1048,23,F,Singaporean
1049,23,F,Singaporean
1050,23,F,Singaporean
1051,22,F,Singaporean
1052,23,F,Singaporean
1053,23,F,Singaporean
1054,22,F,Singaporean
1055,23,F,Singaporean
1056,22,F,Singaporean
1057,22,F,Singaporean
1058,23,F,Singaporean
1059,22,F,Singaporean
1060,23,F,Singaporean
1061,23,F,Singaporean
1062,23,F,Singaporean
1063,22,F,Singaporean
1064,23,F,Singaporean
1065,22,F,Singaporean
1066,22,F,Singaporean
1067,23,F,Singaporean
1068,23,F,Singaporean
1069,23,F,Singaporean
1070,23,F,Singaporean
1071,23,F,Singaporean
1072,22,F,Singaporean
1073,22,F,Singaporean
1074,23,F,Singaporean
1075,23,F,Singaporean
1076,22,F,Singaporean
1077,23,F,Singaporean
1078,22,F,Singaporean
1079,23,F,Singaporean
1080,23,F,Singaporean
1081,23,F,Singaporean
1082,23,F,Singaporean
1083,22,F,Singaporean
1084,23,F,Singaporean
1085,23,F,Singaporean
1086,23,F,Singaporean
1087,23,F,Singaporean
1088,22,F,Singaporean
1089,23,F,Singaporean
1090,23,F,Singaporean
1091,23,F,Singaporean
1092,23,F,Singaporean
1093,23,F,Singaporean
1094,23,F,Singaporean
1095,22,F,Singaporean
1096,22,F,Singaporean
1097,23,F,Singaporean
1098,22,F,Singaporean
1099,23,F,Singaporean
1100,23,F,Singaporean
1101,23,F,Singaporean
1102,22,F,Singaporean
1103,23,F,Singaporean
1104,23,F,Singaporean
1105,22,F,Singaporean
1106,23,F,Singaporean
1107,22,F,Singaporean
1108,23,F,Singaporean
1109,22,F,Singaporean
1110,23,F,Singaporean
1111,23,F,Singaporean
1112,22,F,Singaporean
1113,23,F,Singaporean
1114,23,F,Singaporean
1115,23,F,Singaporean
1116,23,F,Singaporean
1117,23,F,Singaporean
1118,22,F,Singaporean
1119,23,F,Singaporean
1120,22,F,Singaporean
1121,23,F,Singaporean
1122,22,F,Singaporean
1123,23,F,Singaporean
1124,23,F,Singaporean
1125,23,F,Singaporean
1126,22,F,Singaporean
1127,23,F,Singaporean
1128,23,F,Singaporean
1129,22,F,Singaporean
1130,23,F,Singaporean
1131,23,F,Singaporean
1132,23,F,Singaporean
1133,23,F,Singaporean
1134,22,F,Singaporean
1135,23,F,Singaporean
1136,22,F,Singaporean
1137,23,F,Singaporean
1138,22,F,Singaporean
1139,23,F,Singaporean
1140,23,F,Singaporean
1141,22,F,Singaporean
1142,23,F,Singaporean
1143,22,F,Singaporean
1144,23,F,Singaporean
1145,23,F,Singaporean
1146,23,F,Singaporean
1147,23,F,Singaporean
1148,23,F,Singaporean
1149,22,F,Singaporean
1150,23,F,Singaporean
1151,23,F,Singaporean
1152,22,F,Singaporean
