utt_id,file_id,speaker,speaker_gender_mode,prev_speaker,interlocutor_gender,gender_match,lang,condition
test_104_2,test_104_2,MONISHA,female,MAYA,female,same,HI,monolingual_HI
test_104_3,test_104_3,MAYA,female,MONISHA,female,same,HI,monolingual_HI
test_104_4,test_104_4,MONISHA,female,MAYA,female,same,CS,code_switched
test_105_0,test_105_0,DUSHYANT,male,,,unknown,CS,code_switched
test_105_1,test_105_1,SAHIL,male,DUSHYANT,male,same,CS,code_switched
test_107_0,test_107_0,SAHIL,male,,,unknown,CS,code_switched
test_108_3,test_108_3,MAYA,female,,,unknown,HI,monolingual_HI
test_109_6,test_109_6,SAHIL,male,,,unknown,CS,code_switched
test_111_0,test_111_0,DUSHYANT,male,,,unknown,CS,code_switched
test_111_1,test_111_1,MONISHA,female,DUSHYANT,male,different,CS,code_switched
test_111_2,test_111_2,DUSHYANT,male,MONISHA,female,different,CS,code_switched
test_111_3,test_111_3,ROSESH,male,DUSHYANT,male,same,CS,code_switched
test_112_7,test_112_7,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_113_1,test_113_1,MONISHA,female,,,unknown,HI,monolingual_HI
test_113_2,test_113_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_113_3,test_113_3,MONISHA,female,MAYA,female,same,HI,monolingual_HI
test_113_4,test_113_4,MAYA,female,MONISHA,female,same,CS,code_switched
test_114_0,test_114_0,SAHIL,male,,,unknown,CS,code_switched
test_114_1,test_114_1,MONISHA,female,SAHIL,male,different,CS,code_switched
test_115_0,test_115_0,MAYA,female,,,unknown,CS,code_switched
test_115_1,test_115_1,SAHIL,male,MAYA,female,different,CS,code_switched
test_115_2,test_115_2,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_116_0,test_116_0,MAYA,female,,,unknown,HI,monolingual_HI
test_116_1,test_116_1,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_116_2,test_116_2,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_118_0,test_118_0,MAYA,female,,,unknown,CS,code_switched
test_118_1,test_118_1,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
test_118_2,test_118_2,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_119_0,test_119_0,MONISHA,female,,,unknown,CS,code_switched
test_119_1,test_119_1,ROSESH,male,MONISHA,female,different,HI,monolingual_HI
test_119_2,test_119_2,MONISHA,female,ROSESH,male,different,CS,code_switched
test_12_0,test_12_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_12_1,test_12_1,SAHIL,male,INDRAVARDHAN,male,same,EN,monolingual_EN
test_12_2,test_12_2,ROSESH,male,SAHIL,male,same,CS,code_switched
test_12_3,test_12_3,INDRAVARDHAN,male,ROSESH,male,same,HI,monolingual_HI
test_12_4,test_12_4,ROSESH,male,INDRAVARDHAN,male,same,HI,monolingual_HI
test_12_5,test_12_5,INDRAVARDHAN,male,ROSESH,male,same,CS,code_switched
test_121_0,test_121_0,MAYA,female,,,unknown,CS,code_switched
test_121_1,test_121_1,MONISHA,female,MAYA,female,same,CS,code_switched
test_121_2,test_121_2,ROSESH,male,MONISHA,female,different,CS,code_switched
test_121_3,test_121_3,MONISHA,female,ROSESH,male,different,HI,monolingual_HI
test_121_5,test_121_5,SAHIL,male,MONISHA,female,different,CS,code_switched
test_122_2,test_122_2,MONISHA,female,,,unknown,HI,monolingual_HI
test_122_3,test_122_3,MAYA,female,MONISHA,female,same,CS,code_switched
test_123_0,test_123_0,MAYA,female,,,unknown,CS,code_switched
test_124_0,test_124_0,SAHIL,male,,,unknown,CS,code_switched
test_124_1,test_124_1,MONISHA,female,SAHIL,male,different,CS,code_switched
test_124_2,test_124_2,SAHIL,male,MONISHA,female,different,CS,code_switched
test_127_0,test_127_0,SAHIL,male,,,unknown,CS,code_switched
test_127_1,test_127_1,MAYA,female,SAHIL,male,different,EN,monolingual_EN
test_127_2,test_127_2,ROSESH,male,MAYA,female,different,EN,monolingual_EN
test_127_3,test_127_3,MAYA,female,ROSESH,male,different,HI,monolingual_HI
test_127_4,test_127_4,ROSESH,male,MAYA,female,different,CS,code_switched
test_127_5,test_127_5,MAYA,female,ROSESH,male,different,EN,monolingual_EN
test_13_0,test_13_0,SAHIL,male,,,unknown,CS,code_switched
test_13_2,test_13_2,SAHIL,male,SAHIL,male,same,EN,monolingual_EN
test_13_3,test_13_3,MAYA,female,SAHIL,male,different,HI,monolingual_HI
test_13_4,test_13_4,SAHIL,male,MAYA,female,different,CS,code_switched
test_130_0,test_130_0,SHARMAN,male,,,unknown,CS,code_switched
test_130_1,test_130_1,INDRAVARDHAN,male,SHARMAN,male,same,CS,code_switched
test_130_2,test_130_2,SHARMAN,male,INDRAVARDHAN,male,same,CS,code_switched
test_130_3,test_130_3,INDRAVARDHAN,male,SHARMAN,male,same,CS,code_switched
test_132_0,test_132_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_132_1,test_132_1,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_133_3,test_133_3,MAYA,female,,,unknown,CS,code_switched
test_134_0,test_134_0,SAHIL,male,,,unknown,CS,code_switched
test_134_1,test_134_1,ROSESH,male,SAHIL,male,same,CS,code_switched
test_134_2,test_134_2,MAYA,female,ROSESH,male,different,CS,code_switched
test_135_0,test_135_0,MONISHA,female,,,unknown,HI,monolingual_HI
test_135_1,test_135_1,MAYA,female,MONISHA,female,same,CS,code_switched
test_136_1,test_136_1,MAYA,female,,,unknown,CS,code_switched
test_136_2,test_136_2,MAYA,female,MAYA,female,same,EN,monolingual_EN
test_136_3,test_136_3,ROSESH,male,MAYA,female,different,EN,monolingual_EN
test_136_4,test_136_4,DUSHYANT,male,ROSESH,male,same,CS,code_switched
test_136_5,test_136_5,MAYA,female,DUSHYANT,male,different,CS,code_switched
test_137_3,test_137_3,ROSESH,male,,,unknown,CS,code_switched
test_137_4,test_137_4,SAHIL,male,ROSESH,male,same,CS,code_switched
test_138_0,test_138_0,SAHIL,male,,,unknown,CS,code_switched
test_138_1,test_138_1,ROSESH,male,SAHIL,male,same,CS,code_switched
test_138_2,test_138_2,INDRAVARDHAN,male,ROSESH,male,same,CS,code_switched
test_139_2,test_139_2,MAYA,female,,,unknown,CS,code_switched
test_14_0,test_14_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_14_1,test_14_1,DUSHYANT,male,INDRAVARDHAN,male,same,CS,code_switched
test_14_2,test_14_2,INDRAVARDHAN,male,DUSHYANT,male,same,CS,code_switched
test_14_3,test_14_3,DUSHYANT,male,INDRAVARDHAN,male,same,CS,code_switched
test_14_4,test_14_4,INDRAVARDHAN,male,DUSHYANT,male,same,CS,code_switched
test_140_7,test_140_7,SAHIL,male,,,unknown,HI,monolingual_HI
test_141_0,test_141_0,SAHIL,male,,,unknown,CS,code_switched
test_141_1,test_141_1,MONISHA,female,SAHIL,male,different,CS,code_switched
test_141_2,test_141_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_142_0,test_142_0,ILA,female,,,unknown,CS,code_switched
test_143_1,test_143_1,AMAR TWANSHU,male,,,unknown,HI,monolingual_HI
test_143_2,test_143_2,INDRAVARDHAN,male,AMAR TWANSHU,male,same,HI,monolingual_HI
test_146_0,test_146_0,MONISHA,female,,,unknown,CS,code_switched
test_146_1,test_146_1,ROSESH,male,MONISHA,female,different,EN,monolingual_EN
test_146_2,test_146_2,MAYA,female,ROSESH,male,different,CS,code_switched
test_148_2,test_148_2,ROSESH,male,,,unknown,HI,monolingual_HI
test_148_3,test_148_3,SAHIL,male,ROSESH,male,same,CS,code_switched
test_149_0,test_149_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_149_1,test_149_1,ROSESH,male,INDRAVARDHAN,male,same,CS,code_switched
test_149_2,test_149_2,INDRAVARDHAN,male,ROSESH,male,same,CS,code_switched
test_15_0,test_15_0,MAYA,female,,,unknown,CS,code_switched
test_15_1,test_15_1,SAHIL,male,MAYA,female,different,CS,code_switched
test_15_2,test_15_2,MAYA,female,SAHIL,male,different,CS,code_switched
test_15_3,test_15_3,MAYA,female,MAYA,female,same,CS,code_switched
test_150_2,test_150_2,SAHIL,male,,,unknown,CS,code_switched
test_150_3,test_150_3,MONISHA,female,SAHIL,male,different,CS,code_switched
test_150_5,test_150_5,INDRAVARDHAN,male,MONISHA,female,different,CS,code_switched
test_152_4,test_152_4,AMAR TWANSHU,male,,,unknown,EN,monolingual_EN
test_152_5,test_152_5,INDRAVARDHAN,male,AMAR TWANSHU,male,same,CS,code_switched
test_153_0,test_153_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_153_1,test_153_1,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_153_2,test_153_2,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_153_3,test_153_3,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_154_2,test_154_2,SARUPA,female,,,unknown,CS,code_switched
test_154_3,test_154_3,SARUPA,female,SARUPA,female,same,CS,code_switched
test_154_4,test_154_4,MAYA AND INDRAVARDHAN,unknown,SARUPA,female,unknown,EN,monolingual_EN
test_155_0,test_155_0,MONISHA,female,,,unknown,CS,code_switched
test_155_1,test_155_1,MAYA,female,MONISHA,female,same,CS,code_switched
test_156_0,test_156_0,MONISHA,female,,,unknown,CS,code_switched
test_156_1,test_156_1,SAHIL,male,MONISHA,female,different,CS,code_switched
test_156_2,test_156_2,MONISHA,female,SAHIL,male,different,CS,code_switched
test_156_3,test_156_3,SAHIL,male,MONISHA,female,different,CS,code_switched
test_156_4,test_156_4,MONISHA,female,SAHIL,male,different,CS,code_switched
test_156_5,test_156_5,SAHIL,male,MONISHA,female,different,HI,monolingual_HI
test_156_6,test_156_6,MONISHA,female,SAHIL,male,different,HI,monolingual_HI
test_156_7,test_156_7,SAHIL,male,MONISHA,female,different,HI,monolingual_HI
test_156_8,test_156_8,MONISHA,female,SAHIL,male,different,CS,code_switched
test_156_9,test_156_9,SAHIL,male,MONISHA,female,different,CS,code_switched
test_158_0,test_158_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_158_1,test_158_1,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_158_2,test_158_2,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_158_3,test_158_3,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_158_4,test_158_4,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_159_0,test_159_0,RADHABAI,female,,,unknown,CS,code_switched
test_159_1,test_159_1,RADHABAI,female,RADHABAI,female,same,HI,monolingual_HI
test_159_2,test_159_2,MAYA,female,RADHABAI,female,same,CS,code_switched
test_16_0,test_16_0,SAHIL,male,,,unknown,EN,monolingual_EN
test_16_1,test_16_1,MAYA,female,SAHIL,male,different,CS,code_switched
test_16_2,test_16_2,SAHIL,male,MAYA,female,different,EN,monolingual_EN
test_16_3,test_16_3,MAYA,female,SAHIL,male,different,CS,code_switched
test_16_5,test_16_5,MAYA,female,MAYA,female,same,CS,code_switched
test_160_9,test_160_9,SIMPLE,female,,,unknown,CS,code_switched
test_162_0,test_162_0,INDRAVARDHAN,male,,,unknown,EN,monolingual_EN
test_162_2,test_162_2,INDRAVARDHAN,male,INDRAVARDHAN,male,same,HI,monolingual_HI
test_162_3,test_162_3,MAYA,female,INDRAVARDHAN,male,different,HI,monolingual_HI
test_162_4,test_162_4,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_162_5,test_162_5,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_162_6,test_162_6,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_163_0,test_163_0,SAHIL,male,,,unknown,CS,code_switched
test_163_2,test_163_2,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_165_0,test_165_0,MAYA,female,,,unknown,CS,code_switched
test_165_1,test_165_1,MAYA,female,MAYA,female,same,CS,code_switched
test_165_2,test_165_2,MAYA,female,MAYA,female,same,CS,code_switched
test_166_0,test_166_0,MAYA,female,,,unknown,CS,code_switched
test_166_1,test_166_1,SAHIL,male,MAYA,female,different,HI,monolingual_HI
test_166_2,test_166_2,MONISHA,female,SAHIL,male,different,EN,monolingual_EN
test_166_3,test_166_3,SAHIL,male,MONISHA,female,different,EN,monolingual_EN
test_166_4,test_166_4,MAYA,female,SAHIL,male,different,CS,code_switched
test_168_5,test_168_5,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_169_0,test_169_0,MONISHA,female,,,unknown,CS,code_switched
test_169_1,test_169_1,MONISHA,female,MONISHA,female,same,CS,code_switched
test_169_2,test_169_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_17_0,test_17_0,ROSESH,male,,,unknown,CS,code_switched
test_17_1,test_17_1,INDRAVARDHAN,male,ROSESH,male,same,HI,monolingual_HI
test_170_0,test_170_0,KRISH,male,,,unknown,CS,code_switched
test_170_1,test_170_1,EVERYONE,unknown,KRISH,male,unknown,HI,monolingual_HI
test_170_2,test_170_2,SAHIL,male,EVERYONE,unknown,unknown,CS,code_switched
test_171_0,test_171_0,ROSESH,male,,,unknown,CS,code_switched
test_171_1,test_171_1,INDRAVARDHAN,male,ROSESH,male,same,HI,monolingual_HI
test_172_0,test_172_0,ILA,female,,,unknown,CS,code_switched
test_172_1,test_172_1,ILA,female,ILA,female,same,CS,code_switched
test_172_2,test_172_2,MAYA,female,ILA,female,same,CS,code_switched
test_172_3,test_172_3,MAYA,female,MAYA,female,same,HI,monolingual_HI
test_172_4,test_172_4,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_172_5,test_172_5,MAYA,female,INDRAVARDHAN,male,different,HI,monolingual_HI
test_173_0,test_173_0,MAYA,female,,,unknown,CS,code_switched
test_173_1,test_173_1,MAYA,female,MAYA,female,same,CS,code_switched
test_173_2,test_173_2,MAYA,female,MAYA,female,same,CS,code_switched
test_173_3,test_173_3,SARITA,female,MAYA,female,same,EN,monolingual_EN
test_173_4,test_173_4,MAYA,female,SARITA,female,same,CS,code_switched
test_173_5,test_173_5,MAYA,female,MAYA,female,same,CS,code_switched
test_174_0,test_174_0,ROSESH,male,,,unknown,CS,code_switched
test_174_1,test_174_1,MAYA,female,ROSESH,male,different,HI,monolingual_HI
test_175_0,test_175_0,MAYA,female,,,unknown,CS,code_switched
test_175_1,test_175_1,TANVIR,male,MAYA,female,different,CS,code_switched
test_176_3,test_176_3,BALDEV,male,,,unknown,CS,code_switched
test_177_0,test_177_0,MAYA,female,,,unknown,CS,code_switched
test_177_1,test_177_1,JAISHANKAR,male,MAYA,female,different,HI,monolingual_HI
test_179_0,test_179_0,SAHIL,male,,,unknown,CS,code_switched
test_18_0,test_18_0,MAYA,female,,,unknown,CS,code_switched
test_18_1,test_18_1,MAHESH,male,MAYA,female,different,HI,monolingual_HI
test_18_2,test_18_2,SAHIL,male,MAHESH,male,same,CS,code_switched
test_181_0,test_181_0,SAHIL,male,,,unknown,CS,code_switched
test_181_1,test_181_1,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_182_0,test_182_0,DUSHYANT,male,,,unknown,CS,code_switched
test_182_1,test_182_1,ROSESH,male,DUSHYANT,male,same,EN,monolingual_EN
test_182_2,test_182_2,INDRAVARDHAN,male,ROSESH,male,same,CS,code_switched
test_182_3,test_182_3,INDRAVARDHAN,male,INDRAVARDHAN,male,same,CS,code_switched
test_183_0,test_183_0,MAYA,female,,,unknown,CS,code_switched
test_183_6,test_183_6,ROSESH,male,MAYA,female,different,EN,monolingual_EN
test_184_2,test_184_2,MAYA,female,,,unknown,HI,monolingual_HI
test_185_0,test_185_0,INDRAVARDHAN,male,,,unknown,EN,monolingual_EN
test_185_1,test_185_1,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_185_2,test_185_2,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
test_185_3,test_185_3,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_185_4,test_185_4,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
test_185_5,test_185_5,MAYA,female,INDRAVARDHAN,male,different,HI,monolingual_HI
test_185_6,test_185_6,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
test_185_7,test_185_7,INDRAVARDHAN,male,INDRAVARDHAN,male,same,HI,monolingual_HI
test_185_8,test_185_8,INDRAVARDHAN,male,INDRAVARDHAN,male,same,CS,code_switched
test_185_9,test_185_9,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_185_10,test_185_10,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_185_11,test_185_11,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_185_12,test_185_12,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
test_185_13,test_185_13,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_186_3,test_186_3,SONIYA,female,,,unknown,CS,code_switched
test_186_4,test_186_4,MAYA,female,SONIYA,female,same,CS,code_switched
test_187_0,test_187_0,MADHUSUDAN,male,,,unknown,CS,code_switched
test_187_1,test_187_1,INDRAVARDHAN,male,MADHUSUDAN,male,same,HI,monolingual_HI
test_187_2,test_187_2,ILA,female,INDRAVARDHAN,male,different,CS,code_switched
test_187_3,test_187_3,INDRAVARDHAN,male,ILA,female,different,CS,code_switched
test_187_4,test_187_4,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_189_4,test_189_4,SAHIL,male,,,unknown,HI,monolingual_HI
test_19_0,test_19_0,MAYA,female,,,unknown,CS,code_switched
test_19_2,test_19_2,MAYA,female,MAYA,female,same,CS,code_switched
test_191_0,test_191_0,GURPREET,unknown,,,unknown,CS,code_switched
test_191_1,test_191_1,SAHIL,male,GURPREET,unknown,unknown,CS,code_switched
test_191_2,test_191_2,GURPREET,unknown,SAHIL,male,unknown,CS,code_switched
test_191_3,test_191_3,SAHIL,male,GURPREET,unknown,unknown,CS,code_switched
test_194_0,test_194_0,BALDEV,male,,,unknown,CS,code_switched
test_194_1,test_194_1,INDRAVARDHAN,male,BALDEV,male,same,HI,monolingual_HI
test_195_0,test_195_0,MAYA,female,,,unknown,EN,monolingual_EN
test_195_1,test_195_1,ROSESH,male,MAYA,female,different,CS,code_switched
test_195_2,test_195_2,MAYA,female,ROSESH,male,different,CS,code_switched
test_196_0,test_196_0,MONISHA,female,,,unknown,CS,code_switched
test_196_1,test_196_1,SAHIL,male,MONISHA,female,different,CS,code_switched
test_196_2,test_196_2,MONISHA,female,SAHIL,male,different,CS,code_switched
test_197_0,test_197_0,MAYA,female,,,unknown,CS,code_switched
test_197_1,test_197_1,MONISHA,female,MAYA,female,same,CS,code_switched
test_197_2,test_197_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_198_0,test_198_0,MADHUSUDAN,male,,,unknown,CS,code_switched
test_198_4,test_198_4,MAYA,female,MADHUSUDAN,male,different,CS,code_switched
test_199_4,test_199_4,KISMI,female,,,unknown,CS,code_switched
test_199_5,test_199_5,SAHIL,male,KISMI,female,different,CS,code_switched
test_20_0,test_20_0,SAHIL,male,,,unknown,CS,code_switched
test_20_1,test_20_1,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_20_2,test_20_2,ROSESH,male,INDRAVARDHAN,male,same,HI,monolingual_HI
test_20_3,test_20_3,INDRAVARDHAN,male,ROSESH,male,same,CS,code_switched
test_20_4,test_20_4,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_20_5,test_20_5,DUSHYANT,male,SAHIL,male,same,CS,code_switched
test_20_6,test_20_6,INDRAVARDHAN,male,DUSHYANT,male,same,EN,monolingual_EN
test_20_7,test_20_7,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_20_8,test_20_8,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_20_9,test_20_9,ROSESH,male,INDRAVARDHAN,male,same,HI,monolingual_HI
test_20_10,test_20_10,SAHIL,male,ROSESH,male,same,CS,code_switched
test_20_11,test_20_11,ROSESH,male,SAHIL,male,same,HI,monolingual_HI
test_20_12,test_20_12,DUSHYANT,male,ROSESH,male,same,CS,code_switched
test_20_13,test_20_13,SAHIL,male,DUSHYANT,male,same,CS,code_switched
test_200_1,test_200_1,MONISHA,female,,,unknown,CS,code_switched
test_200_2,test_200_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_201_0,test_201_0,DHARAM PAAL SINGH,male,,,unknown,CS,code_switched
test_201_1,test_201_1,INDRAVARDHAN,male,DHARAM PAAL SINGH,male,same,CS,code_switched
test_201_2,test_201_2,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_202_0,test_202_0,SAHIL,male,,,unknown,CS,code_switched
test_203_0,test_203_0,ROSESH,male,,,unknown,CS,code_switched
test_203_1,test_203_1,SAHIL,male,ROSESH,male,same,CS,code_switched
test_205_0,test_205_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_205_1,test_205_1,DUSHYANT,male,INDRAVARDHAN,male,same,CS,code_switched
test_205_2,test_205_2,DUSHYANT,male,DUSHYANT,male,same,CS,code_switched
test_205_3,test_205_3,INDRAVARDHAN,male,DUSHYANT,male,same,CS,code_switched
test_207_2,test_207_2,MAYA,female,,,unknown,CS,code_switched
test_207_3,test_207_3,RAJ GOPAL SHARMA,male,MAYA,female,different,CS,code_switched
test_209_0,test_209_0,MONISHA,female,,,unknown,CS,code_switched
test_209_1,test_209_1,SAHIL,male,MONISHA,female,different,EN,monolingual_EN
test_209_2,test_209_2,SAHIL,male,SAHIL,male,same,CS,code_switched
test_209_3,test_209_3,MONISHA,female,SAHIL,male,different,CS,code_switched
test_209_4,test_209_4,SAHIL,male,MONISHA,female,different,CS,code_switched
test_21_0,test_21_0,ROSESH,male,,,unknown,CS,code_switched
test_21_1,test_21_1,SAHIL,male,ROSESH,male,same,CS,code_switched
test_210_0,test_210_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_210_1,test_210_1,VITTHAL,male,INDRAVARDHAN,male,same,CS,code_switched
test_212_0,test_212_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_212_1,test_212_1,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_213_8,test_213_8,MAYA,female,,,unknown,CS,code_switched
test_213_9,test_213_9,SAHIL,male,MAYA,female,different,CS,code_switched
test_213_10,test_213_10,MONISHA,female,SAHIL,male,different,CS,code_switched
test_215_0,test_215_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_215_2,test_215_2,INDRAVARDHAN,male,INDRAVARDHAN,male,same,HI,monolingual_HI
test_215_3,test_215_3,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_215_4,test_215_4,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_216_0,test_216_0,SAHIL,male,,,unknown,CS,code_switched
test_216_1,test_216_1,MAYA,female,SAHIL,male,different,CS,code_switched
test_216_2,test_216_2,SAHIL,male,MAYA,female,different,CS,code_switched
test_216_3,test_216_3,MAYA,female,SAHIL,male,different,HI,monolingual_HI
test_218_0,test_218_0,ROSESH,male,,,unknown,HI,monolingual_HI
test_218_1,test_218_1,ROSESH,male,ROSESH,male,same,CS,code_switched
test_218_2,test_218_2,SAHIL,male,ROSESH,male,same,CS,code_switched
test_219_2,test_219_2,SHARMAN,male,,,unknown,CS,code_switched
test_219_3,test_219_3,INDRAVARDHAN,male,SHARMAN,male,same,EN,monolingual_EN
test_219_4,test_219_4,SHARMAN,male,INDRAVARDHAN,male,same,EN,monolingual_EN
test_219_5,test_219_5,INDRAVARDHAN,male,SHARMAN,male,same,CS,code_switched
test_22_3,test_22_3,SAHIL,male,,,unknown,CS,code_switched
test_22_6,test_22_6,SAHIL,male,SAHIL,male,same,CS,code_switched
test_220_0,test_220_0,MONISHA,female,,,unknown,HI,monolingual_HI
test_220_1,test_220_1,SARUPA,female,MONISHA,female,same,EN,monolingual_EN
test_220_2,test_220_2,MAYA,female,SARUPA,female,same,CS,code_switched
test_222_0,test_222_0,MAYA,female,,,unknown,CS,code_switched
test_222_2,test_222_2,MAYA,female,MAYA,female,same,CS,code_switched
test_222_3,test_222_3,ROSESH,male,MAYA,female,different,CS,code_switched
test_222_4,test_222_4,MAYA,female,ROSESH,male,different,CS,code_switched
test_223_2,test_223_2,SAHIL,male,,,unknown,CS,code_switched
test_224_0,test_224_0,MONISHA,female,,,unknown,CS,code_switched
test_224_1,test_224_1,INDRAVARDHAN,male,MONISHA,female,different,HI,monolingual_HI
test_23_0,test_23_0,INDRAVARDHAN,male,,,unknown,HI,monolingual_HI
test_23_1,test_23_1,INDRAVARDHAN,male,INDRAVARDHAN,male,same,HI,monolingual_HI
test_23_2,test_23_2,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_23_3,test_23_3,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
test_23_4,test_23_4,MAYA,female,INDRAVARDHAN,male,different,EN,monolingual_EN
test_23_5,test_23_5,SAHIL,male,MAYA,female,different,EN,monolingual_EN
test_23_6,test_23_6,MAYA,female,SAHIL,male,different,EN,monolingual_EN
test_23_7,test_23_7,SAHIL,male,MAYA,female,different,CS,code_switched
test_23_8,test_23_8,MAYA,female,SAHIL,male,different,CS,code_switched
test_24_1,test_24_1,MAYA,female,,,unknown,CS,code_switched
test_26_0,test_26_0,SAHIL,male,,,unknown,CS,code_switched
test_26_1,test_26_1,MAYA,female,SAHIL,male,different,EN,monolingual_EN
test_26_2,test_26_2,MONISHA,female,MAYA,female,same,CS,code_switched
test_26_3,test_26_3,MAYA,female,MONISHA,female,same,CS,code_switched
test_27_0,test_27_0,MONISHA,female,,,unknown,CS,code_switched
test_27_1,test_27_1,MAYA,female,MONISHA,female,same,CS,code_switched
