utt_id,file_id,speaker,speaker_nationality_mode,prev_speaker,interlocutor_nationality,nationality_match,condition
NI01MAX_0101_303.176_317.268,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_328.534_330.339,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_337.708_354.635,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_354.635_369.145,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_372.871_378.655,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_379.192_382.285,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_382.285_387.627,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_387.627_392.206,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_393.353_396.568,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_396.932_402.679,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_404.641_405.357,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_407.832_413.434,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_422.534_429.830,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_432.514_442.866,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_445.137_449.889,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_450.036_454.010,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_454.417_456.171,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_462.916_464.164,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_464.164_466.250,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_467.106_469.790,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_470.395_471.772,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_475.750_477.800,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_477.907_479.052,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_490.938_492.285,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_492.285_510.440,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_510.440_512.186,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_516.082_522.340,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_537.284_548.665,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_550.082_551.407,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_552.289_555.821,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_556.313_561.265,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_561.621_564.162,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_564.753_570.908,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_572.921_579.210,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_588.242_600.987,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_601.655_613.351,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_613.899_614.400,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_619.527_631.914,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_637.888_651.433,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_651.839_657.837,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_664.537_665.888,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_667.160_672.717,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_673.178_680.419,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_680.419_682.739,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_686.998_688.815,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_689.580_692.500,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_692.500_698.635,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_701.242_705.164,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_705.435_707.071,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_708.501_709.851,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_721.512_723.768,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_723.768_725.027,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_725.027_728.775,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_728.775_730.956,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_730.956_731.487,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_731.487_732.032,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_733.488_734.204,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_736.109_745.237,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_751.423_756.280,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_757.916_759.759,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_760.525_764.607,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_767.949_769.923,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_771.351_775.506,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_779.765_781.038,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_781.791_783.167,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_783.404_791.398,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_791.598_797.493,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_799.706_820.567,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_824.002_843.934,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_843.934_845.810,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_845.810_853.103,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_860.924_862.822,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_863.343_875.657,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_875.657_880.050,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_880.264_883.043,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_884.061_890.106,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_891.177_892.735,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_898.872_908.316,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_908.784_917.058,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_917.058_918.097,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_918.097_926.236,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_933.092_935.792,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_938.607_941.740,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_943.245_944.668,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_944.668_967.306,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_972.521_976.987,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_984.856_988.076,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_998.863_1015.105,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1017.267_1030.929,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1034.132_1039.582,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1039.582_1040.018,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1040.018_1045.210,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1046.513_1047.344,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1050.521_1051.094,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1051.964_1056.980,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1057.576_1058.407,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1063.421_1067.786,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1068.669_1075.369,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1078.087_1078.653,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1080.179_1085.196,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1085.196_1087.810,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1088.260_1091.375,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1096.835_1101.873,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1102.938_1105.864,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1124.054_1131.139,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1131.139_1136.487,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1138.325_1159.189,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1160.156_1165.516,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1166.674_1168.466,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1169.750_1178.168,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1182.105_1193.791,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1195.843_1196.466,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1197.479_1198.076,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1202.491_1207.292,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1207.292_1230.079,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1233.128_1243.635,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1260.306_1277.574,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1277.574_1278.162,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1278.162_1284.307,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1285.304_1286.670,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1286.670_1291.280,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1291.280_1293.665,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1295.565_1305.317,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1305.914_1327.875,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1330.012_1339.338,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1339.932_1360.435,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1360.746_1361.211,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1366.625_1367.930,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1370.781_1391.972,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1394.738_1400.572,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1402.415_1405.116,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1413.476_1423.914,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1424.287_1433.732,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1434.291_1435.436,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1436.868_1437.298,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1439.778_1446.570,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1446.570_1447.075,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1447.075_1451.980,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1451.980_1452.992,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1452.992_1454.840,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1455.590_1456.551,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1460.050_1466.062,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1466.473_1471.810,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1472.824_1474.184,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1477.208_1479.186,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1480.221_1483.960,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1488.401_1492.478,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1495.049_1498.961,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1508.404_1509.344,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1511.027_1526.841,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1530.074_1530.539,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1532.858_1535.455,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1537.766_1545.236,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1545.236_1545.972,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1545.972_1555.283,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1556.551_1562.758,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1565.614_1566.403,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1568.403_1569.413,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1569.805_1574.739,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1575.414_1576.890,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1577.700_1579.001,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1582.891_1599.090,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1603.334_1614.966,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1614.966_1617.934,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1617.934_1621.725,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1622.160_1625.260,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1626.072_1633.006,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1634.200_1635.447,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1636.823_1641.393,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1642.900_1650.090,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1656.606_1671.456,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1671.456_1672.551,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1672.551_1674.112,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1674.533_1680.588,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1681.027_1684.766,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1685.869_1687.659,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1700.586_1715.903,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1716.342_1718.908,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1718.908_1723.993,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1723.993_1724.732,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1724.732_1725.459,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1726.408_1732.844,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1735.271_1746.367,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1747.041_1747.598,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1747.598_1757.869,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1758.591_1759.056,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1767.115_1772.329,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1772.481_1774.904,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1775.441_1780.099,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1781.440_1783.284,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1783.716_1793.985,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1797.717_1802.749,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1802.749_1803.130,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1804.577_1805.457,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1805.457_1810.014,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1811.609_1822.733,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1826.026_1835.870,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1836.824_1837.942,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1838.771_1848.273,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1849.677_1850.508,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1854.793_1857.150,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1858.143_1859.753,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1861.077_1864.661,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1868.738_1869.824,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1869.824_1873.108,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1873.910_1875.470,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1876.117_1876.714,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_1878.617_1881.554,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1882.531_1888.558,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1889.802_1896.672,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1897.357_1905.856,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1911.428_1914.146,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1914.458_1914.852,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1915.286_1920.402,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1920.830_1924.560,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_1925.180_1931.465,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_1933.955_1942.499,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
