utt_id,file_id,speaker,speaker_gender_mode,prev_speaker,interlocutor_gender,gender_match,start_time,end_time,lang,condition
UI02FAZ_0103_0.000_2.524,UI02FAZ_0103,2,female,24,male,different,0,2524,ZH,monolingual_ZH
NI22FBP_0101_0.000_2.575,NI22FBP_0101,22,female,2,female,same,0,2575,ZH,monolingual_ZH
UI01FAZ_0107_0.000_2.610,UI01FAZ_0107,1,male,22,female,different,0,2610,ZH,monolingual_ZH
UI17FAZ_0105_0.000_2.693,UI17FAZ_0105,17,female,1,male,different,0,2693,ZH,monolingual_ZH
NI45FBP_0101_0.000_2.730,NI45FBP_0101,45,female,17,female,same,0,2730,CS,code_switched
UI10FAZ_0104_0.000_2.751,UI10FAZ_0104,10,female,45,female,same,0,2751,ZH,monolingual_ZH
UI07FAZ_0104_0.000_2.880,UI07FAZ_0104,7,female,10,female,same,0,2880,CS,code_switched
UI01FAZ_0105_0.000_3.008,UI01FAZ_0105,1,male,7,female,different,0,3008,CS,code_switched
NI07FBQ_0101_0.000_3.066,NI07FBQ_0101,7,female,1,male,different,0,3066,EN,monolingual_EN
UI22MAZ_0103_0.000_3.340,UI22MAZ_0103,22,female,7,female,same,0,3340,EN,monolingual_EN
UI12FAZ_0102_0.000_3.400,UI12FAZ_0102,12,female,22,female,same,0,3400,ZH,monolingual_ZH
UI15FAZ_0101_0.000_3.514,UI15FAZ_0101,15,female,12,female,same,0,3514,ZH,monolingual_ZH
UI02FAZ_0104_0.000_3.779,UI02FAZ_0104,2,female,15,female,same,0,3779,ZH,monolingual_ZH
UI24MAZ_0103_0.000_4.040,UI24MAZ_0103,24,male,2,female,different,0,4040,CS,code_switched
UI02FAZ_0102_0.000_4.735,UI02FAZ_0102,2,female,24,male,different,0,4735,ZH,monolingual_ZH
UI14MAZ_0102_0.000_5.395,UI14MAZ_0102,14,male,2,female,different,0,5395,CS,code_switched
UI21MAZ_0102_0.000_5.414,UI21MAZ_0102,21,male,14,male,same,0,5414,CS,code_switched
UI21MAZ_0104_0.000_5.545,UI21MAZ_0104,21,male,21,male,same,0,5545,CS,code_switched
UI19MAZ_0103_0.000_5.640,UI19MAZ_0103,19,male,21,male,same,0,5640,ZH,monolingual_ZH
UI05MAZ_0102_0.000_5.872,UI05MAZ_0102,5,male,19,male,same,0,5872,ZH,monolingual_ZH
UI21MAZ_0103_0.000_6.584,UI21MAZ_0103,21,male,5,male,same,0,6584,CS,code_switched
UI16MAZ_0101_0.000_7.310,UI16MAZ_0101,16,male,21,male,same,0,7310,CS,code_switched
UI15FAZ_0102_0.000_7.539,UI15FAZ_0102,15,female,16,male,different,0,7539,EN,monolingual_EN
UI18MAZ_0103_0.000_7.589,UI18MAZ_0103,18,male,15,female,different,0,7589,CS,code_switched
NI47MBP_0101_0.000_7.715,NI47MBP_0101,47,male,18,male,same,0,7715,CS,code_switched
UI13FAZ_0102_0.000_7.789,UI13FAZ_0102,13,female,47,male,different,0,7789,ZH,monolingual_ZH
NI41MBP_0101_0.000_7.840,NI41MBP_0101,41,male,13,female,different,0,7840,EN,monolingual_EN
UI16MAZ_0105_0.000_7.851,UI16MAZ_0105,16,male,41,male,same,0,7851,ZH,monolingual_ZH
UI10FAZ_0102_0.000_8.317,UI10FAZ_0102,10,female,16,male,different,0,8317,CS,code_switched
UI15FAZ_0103_0.000_8.550,UI15FAZ_0103,15,female,10,female,same,0,8550,CS,code_switched
UI06MAZ_0102_0.000_8.930,UI06MAZ_0102,6,female,15,female,same,0,8930,CS,code_switched
UI16MAZ_0104_0.000_9.484,UI16MAZ_0104,16,male,6,female,different,0,9484,CS,code_switched
UI18MAZ_0104_0.000_9.819,UI18MAZ_0104,18,male,16,male,same,0,9819,CS,code_switched
UI13FAZ_0105_0.000_11.532,UI13FAZ_0105,13,female,18,male,different,0,11532,CS,code_switched
UI13FAZ_0103_0.000_11.956,UI13FAZ_0103,13,female,13,female,same,0,11956,CS,code_switched
UI14MAZ_0104_0.000_12.198,UI14MAZ_0104,14,male,13,female,different,0,12198,CS,code_switched
NI52MBQ_0101_0.000_15.220,NI52MBQ_0101,52,male,14,male,same,0,15220,CS,code_switched
NI44MBQ_0101_0.210_2.820,NI44MBQ_0101,44,male,52,male,same,210,2820,EN,monolingual_EN
UI22MAZ_0105_0.289_2.263,UI22MAZ_0105,22,female,44,male,different,289,2263,CS,code_switched
NI59FBQ_0101_0.296_1.338,NI59FBQ_0101,59,female,22,female,same,296,1338,CS,code_switched
NI62MBQ_0101_0.340_2.210,NI62MBQ_0101,62,male,59,female,different,340,2210,CS,code_switched
UI17FAZ_0104_0.354_8.610,UI17FAZ_0104,17,female,62,male,different,354,8610,CS,code_switched
NI08FBP_0201_0.399_6.440,NI08FBP_0201,8,female,17,female,same,399,6440,CS,code_switched
NI29MBP_0101_0.505_2.553,NI29MBP_0101,29,female,8,female,same,505,2553,ZH,monolingual_ZH
NI60MBP_0101_0.644_1.546,NI60MBP_0101,60,male,29,female,different,644,1546,ZH,monolingual_ZH
UI25FAZ_0103_0.665_7.086,UI25FAZ_0103,25,male,60,male,same,665,7086,CS,code_switched
NI37MBP_0101_0.669_1.579,NI37MBP_0101,37,male,25,male,same,669,1579,EN,monolingual_EN
UI06MAZ_0103_0.686_9.867,UI06MAZ_0103,6,female,37,male,different,686,9867,CS,code_switched
NI65MBP_0101_0.704_1.926,NI65MBP_0101,65,male,6,female,different,704,1926,EN,monolingual_EN
UI26MAZ_0102_0.721_3.072,UI26MAZ_0102,26,female,65,male,different,721,3072,CS,code_switched
NI03FBX_0101_0.782_1.483,NI03FBX_0101,3,female,26,female,same,782,1483,ZH,monolingual_ZH
UI19MAZ_0102_0.794_6.247,UI19MAZ_0102,19,male,3,female,different,794,6247,CS,code_switched
UI12FAZ_0103_0.836_4.563,UI12FAZ_0103,12,female,19,male,different,836,4563,CS,code_switched
UI23FAZ_0104_0.860_7.876,UI23FAZ_0104,23,female,12,female,same,860,7876,CS,code_switched
NI05MBQ_0101_0.887_1.700,NI05MBQ_0101,5,male,23,female,different,887,1700,EN,monolingual_EN
NI16FBP_0101_0.963_3.093,NI16FBP_0101,16,male,5,male,same,963,3093,EN,monolingual_EN
UI24MAZ_0102_0.969_2.873,UI24MAZ_0102,24,male,16,male,same,969,2873,CS,code_switched
UI02FAZ_0105_0.981_2.203,UI02FAZ_0105,2,female,24,male,different,981,2203,ZH,monolingual_ZH
UI23FAZ_0102_0.989_1.561,UI23FAZ_0102,23,female,2,female,same,989,1561,ZH,monolingual_ZH
UI29FAZ_0104_1.162_3.880,UI29FAZ_0104,29,female,23,female,same,1162,3880,ZH,monolingual_ZH
NI27MBQ_0101_1.181_1.869,NI27MBQ_0101,27,male,29,female,different,1181,1869,EN,monolingual_EN
UI12FAZ_0104_1.242_7.952,UI12FAZ_0104,12,female,27,male,different,1242,7952,CS,code_switched
UI27FAZ_0104_1.265_7.148,UI27FAZ_0104,27,male,12,female,different,1265,7148,CS,code_switched
NI14MBP_0101_1.268_2.110,NI14MBP_0101,14,male,27,male,same,1268,2110,EN,monolingual_EN
NI13MBQ_0101_1.337_2.824,NI13MBQ_0101,13,female,14,male,different,1337,2824,ZH,monolingual_ZH
NI01MAX_0101_1.353_3.612,NI01MAX_0101,1,male,13,female,different,1353,3612,ZH,monolingual_ZH
UI06MAZ_0105_1.405_6.007,UI06MAZ_0105,6,female,1,male,different,1405,6007,CS,code_switched
NI08FBP_0101_1.457_9.535,NI08FBP_0101,8,female,6,female,same,1457,9535,CS,code_switched
NI52MBQ_0201_1.470_3.890,NI52MBQ_0201,52,male,8,female,different,1470,3890,CS,code_switched
NI31FBP_0101_1.610_8.150,NI31FBP_0101,31,female,52,male,different,1610,8150,CS,code_switched
NI43FBP_0101_1.630_3.630,NI43FBP_0101,43,female,31,female,same,1630,3630,EN,monolingual_EN
NI05MBQ_0101_1.700_2.760,NI05MBQ_0101,5,male,43,female,different,1700,2760,EN,monolingual_EN
NI02FAX_0101_1.710_2.807,NI02FAX_0101,2,female,5,male,different,1710,2807,ZH,monolingual_ZH
NI35FBP_0101_1.743_3.223,NI35FBP_0101,35,female,2,female,same,1743,3223,EN,monolingual_EN
UI14MAZ_0103_1.746_7.523,UI14MAZ_0103,14,male,35,female,different,1746,7523,CS,code_switched
NI33MBP_0101_1.764_4.534,NI33MBP_0101,33,male,14,male,same,1764,4534,EN,monolingual_EN
NI03FBX_0101_1.794_2.444,NI03FBX_0101,3,female,33,male,different,1794,2444,ZH,monolingual_ZH
UI22MAZ_0104_1.903_3.294,UI22MAZ_0104,22,female,3,female,same,1903,3294,ZH,monolingual_ZH
UI17FAZ_0102_1.936_4.447,UI17FAZ_0102,17,female,22,female,same,1936,4447,ZH,monolingual_ZH
NI59FBQ_0101_1.950_2.580,NI59FBQ_0101,59,female,17,female,same,1950,2580,ZH,monolingual_ZH
NI46FBQ_0101_1.960_3.470,NI46FBQ_0101,46,female,59,female,same,1960,3470,ZH,monolingual_ZH
NI27MBQ_0101_2.017_2.746,NI27MBQ_0101,27,male,46,female,different,2017,2746,ZH,monolingual_ZH
NI67MBQ_0101_2.070_3.240,NI67MBQ_0101,67,male,27,male,same,2070,3240,ZH,monolingual_ZH
NI49MBP_0101_2.080_5.700,NI49MBP_0101,49,male,67,male,same,2080,5700,CS,code_switched
UI02FAZ_0105_2.203_5.639,UI02FAZ_0105,2,female,49,male,different,2203,5639,ZH,monolingual_ZH
UI20MAZ_0104_2.236_4.176,UI20MAZ_0104,20,male,2,female,different,2236,4176,ZH,monolingual_ZH
UI21MAZ_0105_2.248_10.589,UI21MAZ_0105,21,male,20,male,same,2248,10589,CS,code_switched
NI60MBP_0101_2.345_3.595,NI60MBP_0101,60,male,21,male,same,2345,3595,ZH,monolingual_ZH
UI27FAZ_0102_2.400_12.047,UI27FAZ_0102,27,male,60,male,same,2400,12047,CS,code_switched
NI39FBP_0101_2.446_7.490,NI39FBP_0101,39,female,27,male,different,2446,7490,EN,monolingual_EN
NI03FBX_0101_2.522_2.989,NI03FBX_0101,3,female,39,female,same,2522,2989,CS,code_switched
UI02FAZ_0103_2.524_4.459,UI02FAZ_0103,2,female,3,female,same,2524,4459,CS,code_switched
NI22FBP_0101_2.575_4.410,NI22FBP_0101,22,female,2,female,same,2575,4410,CS,code_switched
UI01FAZ_0107_2.610_11.919,UI01FAZ_0107,1,male,22,female,different,2610,11919,ZH,monolingual_ZH
UI24MAZ_0104_2.725_3.779,UI24MAZ_0104,24,male,1,male,same,2725,3779,ZH,monolingual_ZH
NI45FBP_0101_2.730_10.420,NI45FBP_0101,45,female,24,male,different,2730,10420,ZH,monolingual_ZH
UI29FAZ_0103_2.744_7.251,UI29FAZ_0103,29,female,45,female,same,2744,7251,CS,code_switched
UI10FAZ_0104_2.751_43.125,UI10FAZ_0104,10,female,29,female,same,2751,43125,ZH,monolingual_ZH
NI02FAX_0101_2.807_4.221,NI02FAX_0101,2,female,10,female,same,2807,4221,EN,monolingual_EN
NI36MBQ_0101_2.807_4.261,NI36MBQ_0101,36,male,2,female,different,2807,4261,EN,monolingual_EN
NI13MBQ_0101_2.824_5.242,NI13MBQ_0101,13,female,36,male,different,2824,5242,CS,code_switched
UI07FAZ_0104_2.880_5.137,UI07FAZ_0104,7,female,13,female,same,2880,5137,CS,code_switched
NI03FBX_0101_2.989_6.910,NI03FBX_0101,3,female,7,female,same,2989,6910,EN,monolingual_EN
NI07FBQ_0101_3.066_8.261,NI07FBQ_0101,7,female,3,female,same,3066,8261,CS,code_switched
UI26MAZ_0102_3.072_10.857,UI26MAZ_0102,26,female,7,female,same,3072,10857,CS,code_switched
UI24MAZ_0105_3.076_16.757,UI24MAZ_0105,24,male,26,female,different,3076,16757,CS,code_switched
UI08MAZ_0101_3.134_5.119,UI08MAZ_0101,8,female,24,male,different,3134,5119,CS,code_switched
NI61FBP_0101_3.231_3.659,NI61FBP_0101,61,female,8,female,same,3231,3659,ZH,monolingual_ZH
UI08MAZ_0102_3.249_3.872,UI08MAZ_0102,8,female,61,female,same,3249,3872,ZH,monolingual_ZH
UI14MAZ_0101_3.280_11.044,UI14MAZ_0101,14,male,8,female,different,3280,11044,CS,code_switched
UI24MAZ_0102_3.287_6.273,UI24MAZ_0102,24,male,14,male,same,3287,6273,CS,code_switched
UI18MAZ_0105_3.287_10.838,UI18MAZ_0105,18,male,24,male,same,3287,10838,CS,code_switched
NI29MBP_0101_3.290_6.320,NI29MBP_0101,29,female,18,male,different,3290,6320,CS,code_switched
UI17FAZ_0105_3.450_7.881,UI17FAZ_0105,17,female,29,female,same,3450,7881,CS,code_switched
NI46FBQ_0101_3.470_4.353,NI46FBQ_0101,46,female,17,female,same,3470,4353,EN,monolingual_EN
UI15FAZ_0101_3.514_3.999,UI15FAZ_0101,15,female,46,female,same,3514,3999,EN,monolingual_EN
NI27MBQ_0101_3.566_4.673,NI27MBQ_0101,27,male,15,female,different,3566,4673,ZH,monolingual_ZH
NI05MBQ_0101_3.694_4.854,NI05MBQ_0101,5,male,27,male,same,3694,4854,EN,monolingual_EN
NI67MBQ_0101_3.740_6.370,NI67MBQ_0101,67,male,5,male,same,3740,6370,ZH,monolingual_ZH
UI15FAZ_0105_3.755_6.871,UI15FAZ_0105,15,female,67,male,different,3755,6871,ZH,monolingual_ZH
NI35FBP_0101_3.760_9.310,NI35FBP_0101,35,female,15,female,same,3760,9310,EN,monolingual_EN
NI60MBP_0101_3.770_5.480,NI60MBP_0101,60,male,35,female,different,3770,5480,ZH,monolingual_ZH
UI02FAZ_0104_3.779_6.507,UI02FAZ_0104,2,female,60,male,different,3779,6507,CS,code_switched
NI40FBQ_0101_3.814_6.477,NI40FBQ_0101,40,female,2,female,same,3814,6477,EN,monolingual_EN
UI29FAZ_0104_3.880_7.440,UI29FAZ_0104,29,female,40,female,same,3880,7440,CS,code_switched
UI22MAZ_0104_3.886_4.759,UI22MAZ_0104,22,female,29,female,same,3886,4759,ZH,monolingual_ZH
UI16MAZ_0102_3.939_10.246,UI16MAZ_0102,16,male,22,female,different,3939,10246,ZH,monolingual_ZH
NI10FBP_0101_3.946_4.687,NI10FBP_0101,10,female,16,male,different,3946,4687,EN,monolingual_EN
UI15FAZ_0101_3.999_4.836,UI15FAZ_0101,15,female,10,female,same,3999,4836,CS,code_switched
NI42FBQ_0101_4.019_4.913,NI42FBQ_0101,42,female,15,female,same,4019,4913,EN,monolingual_EN
UI12FAZ_0101_4.084_11.728,UI12FAZ_0101,12,female,42,female,same,4084,11728,CS,code_switched
NI65MBP_0101_4.106_7.159,NI65MBP_0101,65,male,12,female,different,4106,7159,CS,code_switched
UI20MAZ_0104_4.176_7.349,UI20MAZ_0104,20,male,65,male,same,4176,7349,ZH,monolingual_ZH
NI02FAX_0101_4.221_8.030,NI02FAX_0101,2,female,20,male,different,4221,8030,ZH,monolingual_ZH
NI01MAX_0101_4.243_4.762,NI01MAX_0101,1,male,2,female,different,4243,4762,ZH,monolingual_ZH
NI43FBP_0101_4.250_14.950,NI43FBP_0101,43,female,1,male,different,4250,14950,CS,code_switched
NI62MBQ_0101_4.261_6.313,NI62MBQ_0101,62,male,43,female,different,4261,6313,ZH,monolingual_ZH
NI14MBP_0101_4.270_6.009,NI14MBP_0101,14,male,62,male,same,4270,6009,ZH,monolingual_ZH
UI23FAZ_0101_4.283_12.723,UI23FAZ_0101,23,female,14,male,different,4283,12723,CS,code_switched
UI17FAZ_0101_4.297_6.026,UI17FAZ_0101,17,female,23,female,same,4297,6026,ZH,monolingual_ZH
NI44MBQ_0101_4.370_10.500,NI44MBQ_0101,44,male,17,female,different,4370,10500,CS,code_switched
NI52MBQ_0201_4.391_6.840,NI52MBQ_0201,52,male,44,male,same,4391,6840,ZH,monolingual_ZH
UI02FAZ_0103_4.459_9.911,UI02FAZ_0103,2,female,52,male,different,4459,9911,CS,code_switched
UI24MAZ_0103_4.470_11.864,UI24MAZ_0103,24,male,2,female,different,4470,11864,CS,code_switched
UI24MAZ_0104_4.516_8.770,UI24MAZ_0104,24,male,24,male,same,4516,8770,CS,code_switched
NI26FBP_0101_4.539_7.336,NI26FBP_0101,26,female,24,male,different,4539,7336,ZH,monolingual_ZH
NI22FBP_0101_4.547_6.260,NI22FBP_0101,22,female,26,female,same,4547,6260,EN,monolingual_EN
UI12FAZ_0103_4.563_7.897,UI12FAZ_0103,12,female,22,female,same,4563,7897,CS,code_switched
NI59FBQ_0101_4.671_5.678,NI59FBQ_0101,59,female,12,female,same,4671,5678,EN,monolingual_EN
NI61FBP_0101_4.731_10.310,NI61FBP_0101,61,female,59,female,same,4731,10310,CS,code_switched
UI02FAZ_0102_4.735_14.535,UI02FAZ_0102,2,female,61,female,same,4735,14535,ZH,monolingual_ZH
UI22MAZ_0102_4.745_9.654,UI22MAZ_0102,22,female,2,female,same,4745,9654,CS,code_switched
NI50FBQ_0101_4.750_7.170,NI50FBQ_0101,50,female,22,female,same,4750,7170,CS,code_switched
UI27FAZ_0101_4.762_8.203,UI27FAZ_0101,27,male,50,female,different,4762,8203,CS,code_switched
UI17FAZ_0103_4.843_8.008,UI17FAZ_0103,17,female,27,male,different,4843,8008,ZH,monolingual_ZH
UI07FAZ_0104_5.137_7.731,UI07FAZ_0104,7,female,17,female,same,5137,7731,CS,code_switched
UI13FAZ_0104_5.192_9.467,UI13FAZ_0104,13,female,7,female,same,5192,9467,CS,code_switched
NI36MBQ_0101_5.400_7.467,NI36MBQ_0101,36,male,13,female,different,5400,7467,EN,monolingual_EN
UI21MAZ_0104_5.545_10.734,UI21MAZ_0104,21,male,36,male,same,5545,10734,ZH,monolingual_ZH
NI21MBQ_0101_5.557_8.940,NI21MBQ_0101,21,male,21,male,same,5557,8940,ZH,monolingual_ZH
UI02FAZ_0101_5.616_6.871,UI02FAZ_0101,2,female,21,male,different,5616,6871,ZH,monolingual_ZH
UI02FAZ_0105_5.639_9.160,UI02FAZ_0105,2,female,2,female,same,5639,9160,ZH,monolingual_ZH
NI28MBP_0101_5.650_7.130,NI28MBP_0101,28,male,2,female,different,5650,7130,EN,monolingual_EN
UI15FAZ_0101_5.731_11.363,UI15FAZ_0101,15,female,28,male,different,5731,11363,CS,code_switched
NI60MBP_0101_5.782_6.670,NI60MBP_0101,60,male,15,female,different,5782,6670,ZH,monolingual_ZH
UI14MAZ_0102_5.859_9.160,UI14MAZ_0102,14,male,60,male,same,5859,9160,ZH,monolingual_ZH
UI19MAZ_0101_5.872_9.463,UI19MAZ_0101,19,male,14,male,same,5872,9463,CS,code_switched
NI33MBP_0101_5.924_8.324,NI33MBP_0101,33,male,19,male,same,5924,8324,EN,monolingual_EN
UI22MAZ_0103_6.015_7.919,UI22MAZ_0103,22,female,33,male,different,6015,7919,ZH,monolingual_ZH
UI19MAZ_0103_6.097_7.451,UI19MAZ_0103,19,male,22,female,different,6097,7451,ZH,monolingual_ZH
UI22MAZ_0104_6.236_6.909,UI22MAZ_0104,22,female,19,male,different,6236,6909,EN,monolingual_EN
UI19MAZ_0102_6.247_10.241,UI19MAZ_0102,19,male,22,female,different,6247,10241,CS,code_switched
UI05MAZ_0102_6.261_8.986,UI05MAZ_0102,5,male,19,male,same,6261,8986,ZH,monolingual_ZH
UI01FAZ_0105_6.273_8.422,UI01FAZ_0105,1,male,5,male,same,6273,8422,ZH,monolingual_ZH
NI34FBQ_0101_6.287_9.299,NI34FBQ_0101,34,female,1,male,different,6287,9299,EN,monolingual_EN
NI63MBP_0101_6.287_10.078,NI63MBP_0101,63,male,34,female,different,6287,10078,ZH,monolingual_ZH
UI21MAZ_0101_6.318_14.523,UI21MAZ_0101,21,male,63,male,same,6318,14523,ZH,monolingual_ZH
NI29MBP_0101_6.320_7.760,NI29MBP_0101,29,female,21,male,different,6320,7760,ZH,monolingual_ZH
NI59FBQ_0101_6.390_11.070,NI59FBQ_0101,59,female,29,female,same,6390,11070,CS,code_switched
NI12MAP_0101_6.407_9.102,NI12MAP_0101,12,female,59,female,same,6407,9102,CS,code_switched
NI08FBP_0201_6.440_9.610,NI08FBP_0201,8,female,12,female,same,6440,9610,CS,code_switched
UI23FAZ_0102_6.469_7.446,UI23FAZ_0102,23,female,8,female,same,6469,7446,EN,monolingual_EN
NI22FBP_0101_6.480_7.370,NI22FBP_0101,22,female,23,female,same,6480,7370,CS,code_switched
UI06MAZ_0105_6.495_12.649,UI06MAZ_0105,6,female,22,female,same,6495,12649,CS,code_switched
UI02FAZ_0104_6.507_9.191,UI02FAZ_0104,2,female,6,female,same,6507,9191,ZH,monolingual_ZH
NI04FBX_0101_6.521_8.339,NI04FBX_0101,4,female,2,female,same,6521,8339,ZH,monolingual_ZH
UI21MAZ_0103_6.584_10.306,UI21MAZ_0103,21,male,4,female,different,6584,10306,CS,code_switched
NI60MBP_0101_6.670_9.660,NI60MBP_0101,60,male,21,male,same,6670,9660,CS,code_switched
NI52MBQ_0201_6.840_8.650,NI52MBQ_0201,52,male,60,male,same,6840,8650,CS,code_switched
UI02FAZ_0101_6.871_9.322,UI02FAZ_0101,2,female,52,male,different,6871,9322,CS,code_switched
UI15FAZ_0105_6.871_13.706,UI15FAZ_0105,15,female,2,female,same,6871,13706,CS,code_switched
NI03FBX_0101_6.910_8.494,NI03FBX_0101,3,female,15,female,same,6910,8494,ZH,monolingual_ZH
UI22MAZ_0105_6.915_9.353,UI22MAZ_0105,22,female,3,female,same,6915,9353,ZH,monolingual_ZH
UI12FAZ_0102_6.920_8.098,UI12FAZ_0102,12,female,22,female,same,6920,8098,ZH,monolingual_ZH
UI25FAZ_0103_7.086_9.610,UI25FAZ_0103,25,male,12,female,different,7086,9610,CS,code_switched
NI49MBP_0101_7.120_10.720,NI49MBP_0101,49,male,25,male,same,7120,10720,CS,code_switched
NI62MBQ_0101_7.144_9.498,NI62MBQ_0101,62,male,49,male,same,7144,9498,ZH,monolingual_ZH
NI65MBP_0101_7.159_10.078,NI65MBP_0101,65,male,62,male,same,7159,10078,EN,monolingual_EN
NI50FBQ_0101_7.170_8.676,NI50FBQ_0101,50,female,65,male,different,7170,8676,EN,monolingual_EN
UI20MAZ_0101_7.274_9.862,UI20MAZ_0101,20,male,50,female,different,7274,9862,CS,code_switched
UI16MAZ_0101_7.310_16.191,UI16MAZ_0101,16,male,20,male,same,7310,16191,CS,code_switched
NI05MBQ_0101_7.434_12.394,NI05MBQ_0101,5,male,16,male,same,7434,12394,CS,code_switched
UI29FAZ_0104_7.440_11.560,UI29FAZ_0104,29,female,5,male,different,7440,11560,ZH,monolingual_ZH
UI23FAZ_0102_7.446_10.364,UI23FAZ_0102,23,female,29,female,same,7446,10364,CS,code_switched
NI46FBQ_0101_7.460_8.370,NI46FBQ_0101,46,female,23,female,same,7460,8370,ZH,monolingual_ZH
NI22FBP_0101_7.460_9.855,NI22FBP_0101,22,female,46,female,same,7460,9855,CS,code_switched
NI39FBP_0101_7.490_12.825,NI39FBP_0101,39,female,22,female,same,7490,12825,EN,monolingual_EN
UI14MAZ_0103_7.523_15.238,UI14MAZ_0103,14,male,39,female,different,7523,15238,CS,code_switched
UI15FAZ_0102_7.539_18.539,UI15FAZ_0102,15,female,14,male,different,7539,18539,CS,code_switched
UI27FAZ_0104_7.560_13.856,UI27FAZ_0104,27,male,15,female,different,7560,13856,CS,code_switched
NI47MBP_0101_7.715_15.210,NI47MBP_0101,47,male,27,male,same,7715,15210,CS,code_switched
UI07FAZ_0104_7.731_11.655,UI07FAZ_0104,7,female,47,male,different,7731,11655,CS,code_switched
NI29MBP_0101_7.760_9.280,NI29MBP_0101,29,female,7,female,same,7760,9280,ZH,monolingual_ZH
UI08MAZ_0101_7.767_12.208,UI08MAZ_0101,8,female,29,female,same,7767,12208,CS,code_switched
NI53FBP_0101_7.839_17.801,NI53FBP_0101,53,female,8,female,same,7839,17801,EN,monolingual_EN
NI41MBP_0101_7.840_10.460,NI41MBP_0101,41,male,53,female,different,7840,10460,EN,monolingual_EN
UI16MAZ_0105_7.851_16.715,UI16MAZ_0105,16,male,41,male,same,7851,16715,CS,code_switched
UI23FAZ_0104_7.876_11.218,UI23FAZ_0104,23,female,16,male,different,7876,11218,CS,code_switched
UI25FAZ_0104_7.883_9.906,UI25FAZ_0104,25,male,23,female,different,7883,9906,EN,monolingual_EN
UI12FAZ_0103_7.897_10.928,UI12FAZ_0103,12,female,25,male,different,7897,10928,CS,code_switched
NI36MBQ_0101_7.921_10.080,NI36MBQ_0101,36,male,12,female,different,7921,10080,EN,monolingual_EN
UI12FAZ_0102_8.098_13.278,UI12FAZ_0102,12,female,36,male,different,8098,13278,CS,code_switched
UI19MAZ_0103_8.134_9.679,UI19MAZ_0103,19,male,12,female,different,8134,9679,ZH,monolingual_ZH
NI31FBP_0101_8.150_12.390,NI31FBP_0101,31,female,19,male,different,8150,12390,EN,monolingual_EN
NI42FBQ_0101_8.240_20.990,NI42FBQ_0101,42,female,31,female,same,8240,20990,CS,code_switched
NI37MBP_0101_8.246_9.483,NI37MBP_0101,37,male,42,female,different,8246,9483,EN,monolingual_EN
NI07FBQ_0101_8.261_10.570,NI07FBQ_0101,7,female,37,male,different,8261,10570,EN,monolingual_EN
UI17FAZ_0103_8.317_11.852,UI17FAZ_0103,17,female,7,female,same,8317,11852,ZH,monolingual_ZH
UI10FAZ_0102_8.317_14.698,UI10FAZ_0102,10,female,17,female,same,8317,14698,CS,code_switched
NI32FBQ_0101_8.330_11.730,NI32FBQ_0101,32,female,10,female,same,8330,11730,CS,code_switched
UI29FAZ_0101_8.334_9.212,UI29FAZ_0101,29,female,32,female,same,8334,9212,ZH,monolingual_ZH
NI28MBP_0101_8.350_9.460,NI28MBP_0101,28,male,29,female,different,8350,9460,EN,monolingual_EN
UI17FAZ_0105_8.403_9.349,UI17FAZ_0105,17,female,28,male,different,8403,9349,EN,monolingual_EN
