,path
43,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_112_6.wav
44,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_29_0.wav
45,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_228_0.wav
46,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_109_5.wav
47,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_374_4.wav
48,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_215_0.wav
49,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_265_9.wav
50,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_250_0.wav
51,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_276_3.wav
52,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_32_3.wav
53,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_51_0.wav
54,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_77_3.wav
55,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_444_1.wav
56,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_401_1.wav
57,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_114_0.wav
58,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_151_0.wav
59,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_188_1.wav
60,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_369_1.wav
61,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_376_6.wav
62,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_53_2.wav
63,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_95_4.wav
64,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_217_2.wav
65,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_30_1.wav
66,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_274_1.wav
67,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_16_2.wav
68,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_195_4.wav
69,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_75_1.wav
70,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_425_0.wav
71,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_88_1.wav
72,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_153_2.wav
73,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_116_2.wav
74,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_308_0.wav
75,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_130_1.wav
76,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_11.wav
77,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_130_0.wav
78,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_175_1.wav
79,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_175_0.wav
80,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_269_4.wav
81,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_308_1.wav
82,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_446_2.wav
83,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_10.wav
84,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_195_5.wav
85,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_116_3.wav
86,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_315_4.wav
87,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_289_0.wav
88,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_425_1.wav
89,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_88_0.wav
90,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_75_0.wav
91,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_231_0.wav
92,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_274_0.wav
93,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_30_0.wav
94,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_376_7.wav
95,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_188_0.wav
96,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_114_1.wav
97,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_396_2.wav
98,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_217_3.wav
99,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_385_8.wav
100,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_444_0.wav
101,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_151_1.wav
102,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_401_0.wav
103,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_369_0.wav
104,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_77_2.wav
105,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_233_2.wav
106,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_276_2.wav
107,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_32_2.wav
108,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_109_4.wav
109,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_215_1.wav
110,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_51_1.wav
111,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_14_1.wav
112,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_250_1.wav
113,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_374_5.wav
114,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_265_8.wav
115,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_394_0.wav
116,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_349_5.wav
117,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_228_1.wav
118,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_29_1.wav
119,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_442_6.wav
120,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_134_4.wav
121,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_191_1.wav
122,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_213_7.wav
123,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_256_7.wav
124,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_337_3.wav
125,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_1_0.wav
126,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_129_1.wav
127,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_270_4.wav
128,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_235_4.wav
129,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_354_0.wav
130,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_91_1.wav
131,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_311_0.wav
132,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_290_1.wav
133,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_405_4.wav
134,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_249_0.wav
135,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_48_0.wav
136,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_370_1.wav
137,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_148_0.wav
138,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_3_2.wav
139,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_335_1.wav
140,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_211_5.wav
141,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_80_4.wav
142,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_313_2.wav
143,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_418_1.wav
144,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_272_6.wav
145,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_60_1.wav
146,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_261_1.wav
147,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_46_2.wav
148,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_202_2.wav
149,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_326_6.wav
150,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_25_1.wav
151,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_224_1.wav
152,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_358_0.wav
153,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_430_0.wav
154,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_416_3.wav
155,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_160_1.wav
156,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_125_1.wav
157,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_146_2.wav
158,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_381_1.wav
159,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_239_4.wav
160,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_27_3.wav
161,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_263_3.wav
162,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_283_6.wav
163,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_82_6.wav
164,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_44_0.wav
165,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_361_4.wav
166,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_159_5.wav
167,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_245_0.wav
168,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_324_4.wav
169,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_414_1.wav
170,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_432_2.wav
171,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_200_0.wav
172,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_144_0.wav
173,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_349_8.wav
174,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_101_0.wav
175,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_127_3.wav
176,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_84_0.wav
177,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_339_1.wav
178,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_285_0.wav
179,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_429_1.wav
180,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_265_5.wav
181,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_304_1.wav
182,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_367_2.wav
183,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_341_1.wav
184,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_374_8.wav
185,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_179_0.wav
186,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_184_0.wav
187,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_319_4.wav
188,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_298_5.wav
189,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_278_0.wav
190,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_86_2.wav
191,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_79_0.wav
192,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_448_0.wav
193,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_287_2.wav
194,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_118_1.wav
195,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_320_0.wav
196,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_385_5.wav
197,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_365_0.wav
198,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_40_4.wav
199,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_343_3.wav
200,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_306_3.wav
201,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_398_0.wav
202,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_18_1.wav
203,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_219_0.wav
204,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_410_5.wav
205,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_219_1.wav
206,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_398_1.wav
207,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_18_0.wav
208,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_410_4.wav
209,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_378_4.wav
210,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_343_2.wav
211,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_306_2.wav
212,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_320_1.wav
213,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_365_1.wav
214,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_385_4.wav
215,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_118_0.wav
216,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_287_3.wav
217,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_86_3.wav
218,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_319_5.wav
219,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_448_1.wav
220,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_298_4.wav
221,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_278_1.wav
222,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_164_4.wav
223,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_79_1.wav
224,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_184_1.wav
225,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_304_0.wav
226,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_265_4.wav
227,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_374_9.wav
228,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_179_1.wav
229,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_349_9.wav
230,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_285_1.wav
231,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_84_1.wav
232,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_341_0.wav
233,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_429_0.wav
234,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_339_0.wav
235,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_127_2.wav
236,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_144_1.wav
237,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_101_1.wav
238,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_159_4.wav
239,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_414_0.wav
240,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_162_2.wav
241,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_361_5.wav
242,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_245_1.wav
243,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_270_8.wav
244,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_200_1.wav
245,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_27_2.wav
246,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_324_5.wav
247,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_44_1.wav
248,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_358_1.wav
249,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_160_0.wav
250,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_62_2.wav
251,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_263_2.wav
252,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_381_0.wav
253,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_125_0.wav
254,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_239_5.wav
255,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_416_2.wav
256,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_430_1.wav
257,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_46_3.wav
258,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_345_4.wav
259,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_326_7.wav
260,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_202_3.wav
261,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_60_0.wav
262,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_25_0.wav
263,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_80_5.wav
264,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_261_0.wav
265,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_224_0.wav
266,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_247_1.wav
267,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_80_7.wav
268,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_46_1.wav
269,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_383_2.wav
270,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_383_0.wav
271,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_326_5.wav
272,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_224_2.wav
273,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_202_1.wav
274,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_25_2.wav
275,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_430_3.wav
276,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_103_1.wav
277,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_146_1.wav
278,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_60_2.wav
279,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_416_0.wav
280,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_160_2.wav
281,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_82_5.wav
282,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_283_5.wav
283,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_358_3.wav
284,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_62_0.wav
285,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_263_0.wav
286,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_27_0.wav
287,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_381_2.wav
288,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_182_5.wav
289,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_414_2.wav
290,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_226_0.wav
291,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_432_1.wav
292,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_302_4.wav
293,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_285_3.wav
294,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_101_3.wav
295,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_429_2.wav
296,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_162_0.wav
297,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_127_0.wav
298,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_367_1.wav
299,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_304_2.wav
300,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_322_1.wav
301,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_265_6.wav
302,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_341_2.wav
303,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_79_3.wav
304,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_287_1.wav
305,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_385_6.wav
306,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_278_3.wav
307,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_306_0.wav
308,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_86_1.wav
309,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_118_2.wav
310,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_343_0.wav
311,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_123_4.wav
312,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_410_6.wav
313,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_186_0.wav
314,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_186_1.wav
315,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_306_1.wav
316,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_320_2.wav
317,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_365_2.wav
318,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_410_7.wav
319,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_287_0.wav
320,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_376_8.wav
321,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_343_1.wav
322,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_86_0.wav
323,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_385_7.wav
324,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_278_2.wav
325,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_79_2.wav
326,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_448_2.wav
327,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_184_2.wav
328,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_367_0.wav
329,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_322_0.wav
330,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_265_7.wav
331,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_304_3.wav
332,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_179_2.wav
333,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_285_2.wav
334,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_429_3.wav
335,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_432_0.wav
336,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_182_4.wav
337,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_101_2.wav
338,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_127_1.wav
339,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_162_1.wav
340,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_213_8.wav
341,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_226_1.wav
342,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_263_1.wav
343,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_27_1.wav
344,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_62_1.wav
345,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_381_3.wav
346,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_245_2.wav
347,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_44_2.wav
348,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_283_4.wav
349,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_146_0.wav
350,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_82_4.wav
351,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_358_2.wav
352,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_416_1.wav
353,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_46_0.wav
354,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_25_3.wav
355,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_430_2.wav
356,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_103_0.wav
357,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_202_0.wav
